Rank,Team,RP,Match,Auto,Rotor,Touchpad,Pressure,W-L-T,DQ,Played
1,1323,2.3333333000000001,2551,789,1120,800,421,7-2-0,0,9
2,1678,2.2222222999999999,2468,445,1040,900,363,7-2-0,0,9
3,2122,2.1111111999999999,2205,458,980,500,350,6-3-0,0,9
4,3256,1.8888887999999999,2430,489,1160,1050,40,8-1-0,0,9
5,8,1.7777778,2281,501,1260,750,101,6-3-0,0,9
6,2122B,1.6666666000000001,2554,368,1060,900,109,7-2-0,0,9
7,1425,1.6666666000000001,2301,443,1140,750,51,7-2-0,0,9
8,8B,1.6666666000000001,1977,442,1120,550,122,6-3-0,0,9
9,2073,1.5555555999999999,2142,432,1000,700,117,6-3-0,0,9
10,5700,1.4444444000000001,2100,527,1160,700,60,6-3-0,0,9
11,6174,1.4444444000000001,2054,337,1020,700,79,6-3-0,0,9
12,5458,1.3333333999999999,2053,280,980,900,23,6-3-0,0,9
13,5104,1.3333333999999999,2026,437,980,700,41,6-3-0,0,9
14,1280,1.3333333999999999,2013,274,1000,700,48,5-4-0,0,9
15,3250,1.3333333999999999,1931,382,1020,550,111,5-4-0,0,9
16,3859,1.2222222,2298,372,960,950,63,5-4-0,0,9
17,4255B,1.2222222,2103,301,980,750,13,5-3-1,0,9
18,3256B,1.2222222,2052,296,980,800,12,5-3-1,0,9
19,5940,1.2222222,1910,333,880,800,105,5-4-0,0,9
20,5499,1.1111112000000001,2174,129,920,850,9,5-4-0,0,9
21,5496,1.1111112000000001,1996,370,1000,750,36,5-4-0,0,9
22,4171,1.1111112000000001,1972,327,840,750,117,4-5-0,0,9
23,701B,1.1111112000000001,1959,329,1080,600,104,4-5-0,0,9
24,1323B,1.1111112000000001,1905,314,840,700,190,4-5-0,0,9
25,2643,1,2061,169,880,600,96,4-5-0,0,9
26,114,1,2001,452,980,750,56,4-5-0,0,9
27,1662,1,1912,378,1040,600,37,4-4-1,0,9
28,4643,1,1908,325,1020,600,58,4-5-0,0,9
29,1671,1,1841,268,1000,550,56,4-5-0,0,9
30,973,1,1754,285,940,600,4,4-5-0,0,9
31,1671B,0.88888889999999998,2098,328,1060,800,43,3-5-1,0,9
32,253,0.88888889999999998,1929,361,960,750,24,4-5-0,0,9
33,2073B,0.88888889999999998,1774,299,980,650,4,4-5-0,0,9
34,701,0.77777779999999996,1837,347,980,450,57,3-6-0,0,9
35,5274,0.77777779999999996,1776,293,880,550,116,2-6-1,0,9
36,114B,0.77777779999999996,1734,277,920,450,104,2-7-0,0,9
37,5104B,0.77777779999999996,1570,257,780,500,130,2-7-0,0,9
38,3189,0.66666669999999995,2234,375,1020,900,94,2-6-1,0,9
39,4698,0.66666669999999995,1973,365,920,700,3,3-6-0,0,9
40,6662,0.66666669999999995,1310,145,820,300,5,3-6-0,0,9
41,2135,0.44444444999999999,1825,485,1000,550,10,2-7-0,0,9
42,973B,0.44444444999999999,1543,175,740,550,18,2-7-0,0,9
43,4255,0.44444444999999999,1414,349,880,400,4,2-7-0,0,9
44,692,0.22222222,1672,285,840,500,62,1-8-0,0,9
