Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,1619,32.0,288.0,115.0,340.0,560.0,10-1-0,11
2,3230,32.0,250.0,200.0,273.0,575.0,9-2-0,11
3,3288,31.0,264.0,165.0,161.0,565.0,9-2-0,11
4,1011,31.0,255.0,130.0,215.0,590.0,8-3-0,11
5,2240,31.0,225.0,145.0,165.0,555.0,9-2-0,11
6,1157,29.0,242.0,140.0,78.0,600.0,9-2-0,11
7,662,28.0,180.0,135.0,169.0,495.0,8-3-0,11
8,1108,26.0,250.0,135.0,223.0,560.0,7-4-0,11
9,1410,25.0,227.0,145.0,131.0,540.0,7-4-0,11
10,1592,24.0,234.0,120.0,285.0,470.0,8-3-0,11
11,4388,24.0,218.0,125.0,218.0,555.0,6-5-0,11
12,1138,24.0,181.0,105.0,197.0,510.0,7-4-0,11
13,4499,23.0,216.0,125.0,256.0,555.0,5-6-0,11
14,4293,22.0,228.0,110.0,60.0,585.0,6-5-0,11
15,4593,22.0,225.0,115.0,128.0,500.0,8-3-0,11
16,2261,22.0,157.0,145.0,80.0,535.0,7-4-0,11
17,2972,21.0,247.0,110.0,146.0,525.0,6-5-0,11
18,4944,21.0,208.0,115.0,103.0,540.0,7-4-0,11
19,159,21.0,163.0,125.0,102.0,520.0,5-6-0,11
20,4153,20.0,254.0,125.0,114.0,545.0,5-6-0,11
21,5657,20.0,252.0,200.0,154.0,535.0,6-5-0,11
22,2996,20.0,238.0,110.0,263.0,530.0,5-6-0,11
23,4550,20.0,204.0,95.0,123.0,490.0,6-5-0,11
24,3807,20.0,202.0,100.0,118.0,470.0,6-5-0,11
25,3729,19.0,206.0,120.0,114.0,540.0,5-6-0,11
26,1583,19.0,193.0,105.0,115.0,490.0,5-6-0,11
27,4068,19.0,168.0,125.0,161.0,510.0,5-6-0,11
28,5763,18.0,258.0,115.0,131.0,555.0,5-6-0,11
29,5899,18.0,240.0,110.0,99.0,560.0,5-6-0,11
30,1332,18.0,232.0,115.0,71.0,535.0,5-6-0,11
31,2083,18.0,209.0,100.0,90.0,550.0,5-6-0,11
32,5318,18.0,182.0,120.0,115.0,450.0,5-6-0,11
33,2259,17.0,212.0,115.0,71.0,505.0,5-6-0,11
34,1339,16.0,237.0,125.0,86.0,535.0,3-8-0,11
35,1799,16.0,228.0,100.0,134.0,430.0,5-6-0,11
36,2036,16.0,210.0,100.0,147.0,485.0,5-6-0,11
37,1245,15.0,198.0,120.0,67.0,520.0,4-7-0,11
38,5493,15.0,184.0,70.0,86.0,430.0,4-6-0,11
39,4418,15.0,132.0,90.0,82.0,440.0,4-7-0,11
40,1977,13.0,191.0,90.0,114.0,485.0,3-8-0,11
41,2945,13.0,188.0,60.0,113.0,495.0,3-8-0,11
42,5485,12.0,174.0,90.0,62.0,470.0,3-8-0,11
43,3648,12.0,174.0,85.0,76.0,475.0,2-9-0,11
44,3200,12.0,160.0,95.0,109.0,425.0,3-8-0,11
45,1303,11.0,194.0,115.0,25.0,435.0,4-7-0,11
46,4386,11.0,188.0,105.0,79.0,470.0,3-8-0,11
47,1584,8.0,186.0,100.0,50.0,470.0,2-9-0,11
48,4735,7.0,193.0,60.0,84.0,390.0,1-10-0,11
