Rank,Team,RP,Auto,Scale/Challenge,Goal,Defense,W-L-T,DQ,Played
1,4765,20,188,95,69,425,6-1-1,0,8
2,649,20,164,80,157,405,7-1-0,0,8
3,4186,18,170,80,89,400,6-2-0,0,8
4,668,18,168,85,158,360,6-1-1,0,8
5,4904,17,179,95,135,365,6-1-1,0,8
6,1868,17,176,100,101,425,5-2-1,0,8
7,2473,17,156,115,83,385,6-2-0,0,8
8,751,16,150,90,87,375,4-2-2,0,8
9,8,16,128,90,87,370,5-2-1,0,8
10,846,15,170,100,156,385,5-3-0,0,8
11,2035,14,178,80,126,395,5-3-0,0,8
12,4990,14,169,95,78,365,6-2-0,0,8
13,5905,14,160,60,81,385,4-3-1,0,8
14,253,14,158,105,75,345,5-3-0,0,8
15,1967,13,132,120,40,360,4-3-1,0,8
16,1280,13,122,105,77,320,5-3-0,0,8
17,115,12,164,80,88,385,3-4-1,0,8
18,670,11,170,115,110,335,4-4-0,0,8
19,2854,11,152,85,65,370,3-4-1,0,8
20,5171,11,149,75,91,350,3-5-0,0,8
21,1351,11,122,85,57,360,4-4-0,0,8
22,5104,11,112,70,104,300,4-4-0,0,8
23,3045,10,154,80,92,335,4-4-0,0,8
24,4171,10,114,65,31,345,3-5-0,0,8
25,6036,9,164,90,108,360,3-5-0,0,8
26,1700,9,118,70,77,315,3-5-0,0,8
27,2551,9,106,90,82,305,4-4-0,0,8
28,5026,8,134,60,97,315,3-4-1,0,8
29,4159,8,132,95,63,305,2-6-0,0,8
30,5027,7,166,65,87,310,2-6-0,0,8
31,3501,7,102,45,58,290,2-6-0,0,8
32,2489,6,148,75,59,315,2-6-0,0,8
33,4255,6,130,55,91,290,2-6-0,0,8
34,5430,4,112,60,46,325,1-7-0,0,8
35,100,3,112,65,29,280,1-7-0,0,8
36,2643,1,118,35,32,255,0-8-0,0,8
