Rank,Team,Qual Avg,Coopertition,Auto,Container,Tote,Litter,DQ,Played
1,624,139,120,164,384,350,113,0,8
2,118,117,0,60,468,348,67,0,8
3,4587,99,0,20,376,326,73,0,8
4,3335,88,80,20,264,280,67,0,8
5,1296,85,0,0,312,268,113,0,8
6,3103,80,0,40,312,230,77,0,8
7,5416,80,80,20,192,188,164,0,8
8,1255,80,40,20,212,270,102,0,8
9,3735,78,0,20,232,276,105,0,8
10,231,73,0,0,224,282,82,0,8
11,4639,65,40,20,216,224,27,0,8
12,1477,64,40,28,160,216,72,0,8
13,3104,64,40,20,192,196,72,0,8
14,3999,64,40,24,180,208,61,0,8
15,3847,63,40,20,216,206,32,0,8
16,5427,62,40,40,208,178,49,0,8
17,2789,61,40,24,172,174,88,0,8
18,2587,60,80,20,168,166,60,0,8
19,5572,54,0,0,184,190,69,0,8
20,2585,53,0,24,204,162,53,0,8
21,6587,52,40,0,148,188,53,0,8
22,457,51,0,20,124,208,59,0,8
23,2881,48,0,20,144,148,75,0,8
24,2582,46,0,0,120,226,40,0,8
