Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,1318,96.83,8,440,120,276,318,12
2,3663,94.08,4,416,160,239,328,12
3,492,87.0,4,336,200,256,248,12
4,3968,85.83,16,332,280,174,252,12
5,3787,84.08,0,292,240,235,242,12
6,4911,82.5,4,344,160,236,258,12
7,4681,82.0,8,244,200,284,254,12
8,2412,79.08,8,236,320,169,240,12
9,488,76.33,0,244,280,176,228,12
10,4089,72.83,12,288,80,274,244,12
11,4512,71.25,16,184,280,193,188,12
12,4915,70.58,4,284,120,173,266,12
13,1778,67.0,4,160,280,156,216,12
14,2555,64.83,8,176,200,194,212,12
15,3070,62.33,16,244,40,200,254,12
16,3681,62.08,0,152,200,215,196,12
17,5588,62.0,0,232,120,200,192,12
18,2557,61.83,12,180,160,190,212,12
19,3786,60.91,0,176,200,195,172,12
20,4131,60.33,0,140,240,186,182,12
21,949,59.08,8,120,200,245,154,12
22,3268,58.83,0,152,160,174,220,12
23,4682,55.5,4,180,200,119,174,12
24,5495,54.83,8,180,80,240,168,12
25,4304,54.41,0,176,200,147,160,12
26,4461,53.41,0,188,80,177,196,12
27,4654,49.75,0,172,120,154,180,12
28,4180,48.75,8,148,80,199,156,12
29,4030,48.66,0,180,80,160,182,12
30,4077,47.33,8,112,160,144,150,12
31,2942,40.08,0,56,160,163,108,12
32,5295,35.58,8,76,120,136,98,12
