Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,525,10,0,0,10,20.00,17.10
2,1730,9,1,0,10,18.00,27.90
3,967,9,1,0,10,18.00,22.20
4,476,9,1,0,10,18.00,22.10
5,1986,9,1,0,10,18.00,20.30
6,1810,8,1,1,10,17.00,29.60
7,1939,8,1,1,10,17.00,18.80
8,1985,8,2,0,10,16.00,13.50
9,2874,6,1,2,9,14.00,17.80
10,935,7,3,0,10,14.00,17.40
11,2410,7,3,0,10,14.00,16.70
12,1825,7,3,0,10,14.00,13.20
13,3284,6,3,1,10,13.00,21.30
14,662,6,3,1,10,13.00,15.60
15,3784,5,3,1,9,13.00,12.50
16,932,6,4,0,10,12.00,30.30
17,2345,6,4,0,10,12.00,25.80
18,1710,6,4,0,10,12.00,24.20
19,3172,5,4,1,10,11.00,9.00
20,1982,5,5,0,10,10.00,29.20
21,938,5,5,0,10,10.00,19.80
22,1098,5,5,0,10,10.00,19.20
23,2373,5,5,0,10,10.00,17.40
24,3485,5,4,0,9,10.00,13.90
25,1802,5,5,0,10,10.00,10.30
26,1997,4,4,2,10,10.00,9.40
27,1847,3,2,1,6,9.00,16.70
28,2357,4,5,1,10,9.00,15.50
29,3798,4,4,1,9,9.00,14.80
30,937,4,4,1,9,9.00,11.30
31,2560,4,5,1,10,9.00,9.00
32,2335,4,5,1,10,9.00,5.80
33,2167,4,6,0,10,8.00,22.90
34,1769,4,6,0,10,8.00,18.80
35,2457,4,6,0,10,8.00,9.10
36,1984,4,5,0,9,8.00,7.90
37,2996,4,4,0,8,8.00,7.90
38,1827,4,5,0,9,8.00,7.60
39,2894,3,5,1,9,7.00,18.80
40,1777,3,5,1,9,7.00,9.80
41,3528,3,4,1,8,7.00,6.80
42,1806,3,7,0,10,6.00,17.90
43,2353,3,7,0,10,6.00,17.50
44,1785,3,7,0,10,6.00,15.20
45,3764,3,5,0,8,6.00,11.40
46,2346,2,4,2,8,6.00,10.00
47,1775,2,7,1,10,5.00,25.40
48,2164,2,4,1,7,5.00,11.70
49,1737,2,2,1,5,5.00,10.80
50,2008,2,6,1,9,5.00,10.10
51,1782,2,7,1,10,5.00,7.60
52,1764,2,6,0,8,4.00,12.00
53,2001,1,7,2,10,4.00,6.40
54,1723,1,7,1,9,3.00,10.60
55,1994,1,7,0,8,2.00,8.40
56,1763,1,8,0,9,2.00,6.50
