Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,148,24.00,640.00,475.00,270.00,635.00,12-0-0,0,12
2,2158,22.00,300.00,410.00,260.00,505.00,11-1-0,0,12
3,1817,20.00,430.00,587.00,150.00,622.00,10-2-0,0,12
4,2848,20.00,340.00,496.00,190.00,471.00,10-2-0,0,12
5,359,18.00,610.00,452.00,250.00,461.00,9-3-0,0,12
6,231,18.00,340.00,296.00,270.00,431.00,9-3-0,0,12
7,1860,16.00,360.00,395.00,220.00,470.00,8-4-0,0,12
8,704,16.00,300.00,371.00,150.00,535.00,8-3-0,0,11
9,5057,16.00,300.00,311.00,180.00,377.00,8-4-0,0,12
10,4063,16.00,290.00,502.00,300.00,342.00,8-4-0,0,12
11,2789,16.00,250.00,305.00,150.00,247.00,8-4-0,0,12
12,3735,14.00,450.00,357.00,120.00,343.00,7-5-0,0,12
13,2950,14.00,440.00,271.00,110.00,304.00,7-5-0,0,12
14,3847,14.00,390.00,356.00,160.00,288.00,7-5-0,0,12
15,3802,14.00,330.00,421.00,110.00,490.00,7-5-0,0,12
16,5212,14.00,210.00,333.00,230.00,453.00,7-5-0,0,12
17,2415,14.00,190.00,250.00,190.00,671.00,7-5-0,0,12
18,3282,14.00,140.00,195.00,180.00,528.00,7-5-0,0,12
19,457,12.00,470.00,256.00,130.00,314.00,6-6-0,0,12
20,5242,12.00,450.00,410.00,110.00,343.00,6-6-0,0,12
21,1477,12.00,330.00,475.00,100.00,329.00,6-6-0,0,12
22,3481,12.00,300.00,362.00,120.00,224.00,6-6-0,0,12
23,4206,12.00,270.00,265.00,190.00,357.00,6-5-0,0,11
24,1296,12.00,250.00,352.00,160.00,360.00,6-6-0,0,12
25,3005,12.00,230.00,451.00,120.00,385.00,6-6-0,0,12
26,3310,12.00,210.00,330.00,210.00,348.00,6-6-0,0,12
27,3676,10.00,240.00,300.00,130.00,375.00,5-6-0,0,11
28,3043,10.00,150.00,220.00,90.00,369.00,5-6-0,0,11
29,647,10.00,110.00,271.00,90.00,523.00,5-7-0,0,12
30,4589,10.00,100.00,210.00,110.00,204.00,5-7-0,0,12
31,4364,8.00,330.00,391.00,130.00,377.00,4-8-0,0,12
32,4641,8.00,230.00,372.00,80.00,295.00,4-8-0,0,12
33,3413,8.00,200.00,265.00,110.00,339.00,4-8-0,0,12
34,2587,8.00,190.00,277.00,140.00,249.00,4-8-0,0,12
35,5272,8.00,170.00,311.00,100.00,368.00,4-8-0,0,12
36,4335,8.00,170.00,270.00,130.00,287.00,4-8-0,0,12
37,1642,8.00,170.00,242.00,80.00,182.00,4-6-0,1,11
38,4354,6.00,190.00,212.00,90.00,263.00,3-8-0,0,11
39,3616,6.00,180.00,261.00,50.00,190.00,3-9-0,0,12
40,3370,6.00,180.00,221.00,90.00,271.00,3-9-0,0,12
41,2747,6.00,70.00,231.00,110.00,199.00,3-9-0,0,12
42,3355,6.00,60.00,190.00,30.00,284.00,3-9-0,0,12
43,3997,4.00,120.00,205.00,50.00,129.00,2-10-0,0,12
44,4192,4.00,100.00,280.00,160.00,255.00,2-10-0,0,12
45,2805,2.00,160.00,256.00,70.00,151.00,1-11-0,0,12
