Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,1114,7,0,0,7,14.00,65.00,126
2,1503,6,1,0,7,12.00,61.85,133
3,1987,6,1,0,7,12.00,60.14,118
4,1561,6,1,0,7,12.00,59.57,91
5,222,6,1,0,7,12.00,58.00,100
6,488,6,1,0,7,12.00,54.85,103
7,931,6,1,0,7,12.00,51.71,109
8,1002,6,1,0,7,12.00,49.00,79
9,2056,5,1,1,7,11.00,74.00,129
10,201,5,1,1,7,11.00,59.14,101
11,176,5,2,0,7,10.00,67.42,97
12,624,5,2,0,7,10.00,62.00,107
13,2354,5,2,0,7,10.00,61.42,100
14,386,5,2,0,7,10.00,60.71,94
15,1834,5,2,0,7,10.00,60.42,107
16,61,5,2,0,7,10.00,57.28,91
17,343,5,2,0,7,10.00,56.00,94
18,1649,5,2,0,7,10.00,55.57,128
19,1218,5,2,0,7,10.00,54.71,128
20,2587,5,2,0,7,10.00,53.28,101
21,573,5,2,0,7,10.00,53.00,98
22,1266,5,2,0,7,10.00,46.85,122
23,492,4,2,1,7,9.00,56.28,86
24,2753,4,3,0,7,8.00,70.28,102
25,1807,4,3,0,7,8.00,65.71,101
26,868,4,3,0,7,8.00,64.00,101
27,107,4,3,0,7,8.00,61.28,133
28,155,4,3,0,7,8.00,60.85,94
29,118,4,3,0,7,8.00,60.00,122
30,692,4,3,0,7,8.00,59.71,109
31,280,4,3,0,7,8.00,58.00,118
32,2848,4,3,0,7,8.00,57.57,116
33,1014,4,3,0,7,8.00,56.85,97
34,1535,4,3,0,7,8.00,56.85,92
35,1538,4,3,0,7,8.00,55.57,122
36,1746,4,3,0,7,8.00,55.28,101
37,93,4,3,0,7,8.00,54.85,107
38,857,4,3,0,7,8.00,54.42,126
39,558,4,3,0,7,8.00,52.28,101
40,2075,4,3,0,7,8.00,51.42,102
41,1739,4,3,0,7,8.00,47.85,107
42,314,4,3,0,7,8.00,47.57,84
43,548,4,3,0,7,8.00,46.00,105
44,2826,4,3,0,7,8.00,45.85,103
45,2486,4,3,0,7,8.00,40.85,97
46,3020,4,2,0,6,8.00,39.42,112
47,1712,3,3,1,7,7.00,56.28,97
48,811,3,3,1,7,7.00,55.14,77
49,665,3,3,1,7,7.00,50.14,128
50,3062,3,4,0,7,6.00,70.85,129
51,1302,3,4,0,7,6.00,62.42,129
52,503,3,4,0,7,6.00,60.28,94
53,2813,3,4,0,7,6.00,54.14,100
54,2415,3,4,0,7,6.00,52.85,107
55,1341,3,4,0,7,6.00,52.42,103
56,1555,3,4,0,7,6.00,51.28,97
57,2070,3,4,0,7,6.00,50.14,79
58,1421,3,3,0,6,6.00,49.71,107
59,2220,3,4,0,7,6.00,48.85,79
60,2655,3,4,0,7,6.00,39.42,74
61,2169,3,3,0,6,6.00,36.28,82
62,1743,2,4,1,7,5.00,59.14,118
63,2543,2,4,1,7,5.00,57.00,87
64,39,2,4,1,7,5.00,52.14,107
65,180,2,5,0,7,4.00,64.71,82
66,604,2,5,0,7,4.00,61.00,116
67,533,2,5,0,7,4.00,59.42,112
68,1986,2,5,0,7,4.00,57.28,121
69,353,2,5,0,7,4.00,56.85,103
70,1592,2,5,0,7,4.00,55.00,92
71,1334,2,5,0,7,4.00,54.71,95
72,3009,2,5,0,7,4.00,51.71,98
73,2340,2,5,0,7,4.00,49.28,82
74,48,2,5,0,7,4.00,48.85,88
75,231,2,4,0,6,4.00,42.85,133
76,585,1,5,1,7,3.00,58.42,86
77,714,1,5,1,7,3.00,55.14,88
78,120,1,6,0,7,2.00,58.42,100
79,1390,1,6,0,7,2.00,53.14,90
80,433,1,6,0,7,2.00,47.71,101
81,2470,1,6,0,7,2.00,45.14,70
82,1289,1,6,0,7,2.00,42.28,74
83,3091,1,5,0,6,2.00,35.14,88
84,2915,0,6,1,7,1.00,58.42,88
85,125,0,7,0,7,0,52.42,64
86,2779,0,7,0,7,0,51.57,70
87,2874,0,5,0,5,0,26.00,44
