Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),DQ,Played
1,1477,21,124,115,234,380,7-0-0,0,7
2,3847,20,186,125,260,390,5-2-0,0,7
3,2468,20,160,115,236,385,6-1-0,0,7
4,118,18,214,105,306,375,5-2-0,0,7
5,5829,18,176,85,204,375,5-2-0,0,7
6,3735,17,130,105,151,330,5-1-0,0,6
7,4639,16,170,80,236,355,5-2-0,0,7
8,4587,16,138,50,205,325,5-1-0,0,6
9,1255,14,154,95,128,365,4-3-0,0,7
10,624B,13,148,75,133,320,3-3-0,0,6
11,5427,13,146,80,157,395,3-4-0,0,7
12,5923,13,124,65,153,285,4-1-0,0,5
13,4295,12,166,65,123,380,3-4-0,0,7
14,231,12,164,65,219,390,3-4-0,0,7
15,3103,12,158,60,120,330,3-4-0,0,7
16,3478,12,116,85,132,310,3-3-0,0,6
17,5414,11,160,100,112,355,2-5-0,0,7
18,2158,11,122,55,89,305,3-3-0,0,6
19,3478B,10,138,55,134,325,2-4-0,0,6
20,441,10,124,30,119,285,3-3-0,0,6
21,6377,10,104,65,121,295,2-5-0,0,7
22,624,9,146,65,157,340,1-6-0,0,7
23,3335,9,126,55,96,295,2-4-0,1,7
24,4206,9,110,65,78,315,2-5-0,0,7
25,9999,7,122,60,137,285,1-5-0,0,6
26,5908,6,86,85,79,265,1-5-0,0,6
27,2587,4,130,65,91,300,0-6-0,0,6
