Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,1726,13.00,154.00,110.00,110.00,6-0-1,0,7
2,1492,12.00,118.00,110.00,119.00,6-1-0,0,7
3,1290,12.00,106.00,110.00,111.00,6-1-0,0,7
4,2449,12.00,50.00,40.00,135.00,6-1-0,0,7
5,60,12.00,42.00,100.00,68.00,6-1-0,0,7
6,3158,12.00,30.00,110.00,191.00,6-1-0,0,7
7,2486,11.00,124.00,110.00,74.00,5-1-1,0,7
8,2543,10.00,108.00,70.00,81.00,5-2-0,0,7
9,3785,10.00,84.00,130.00,85.00,5-2-0,0,7
10,1164,10.00,80.00,80.00,127.00,5-2-0,0,7
11,2403,10.00,80.00,80.00,73.00,5-2-0,0,7
12,498,10.00,66.00,60.00,118.00,5-2-0,0,7
13,2840,8.00,84.00,80.00,145.00,4-4-0,0,8
14,4102,8.00,80.00,80.00,62.00,4-3-0,0,7
15,2657,8.00,80.00,40.00,104.00,4-2-0,0,6
16,3187,8.00,76.00,60.00,82.00,4-3-0,0,7
17,1013,8.00,76.00,60.00,43.00,4-4-0,0,8
18,4565,8.00,70.00,40.00,41.00,4-3-0,0,7
19,4126,8.00,50.00,110.00,59.00,4-3-0,0,7
20,2647,8.00,48.00,40.00,84.00,4-3-0,0,7
21,996,8.00,46.00,70.00,98.00,4-3-0,0,7
22,991,8.00,46.00,70.00,32.00,4-3-0,0,7
23,2839,8.00,16.00,150.00,54.00,4-3-0,0,7
24,1011,6.00,120.00,80.00,57.00,3-4-0,0,7
25,1165,6.00,94.00,70.00,121.00,3-4-0,0,7
26,4841,6.00,84.00,20.00,68.00,3-4-0,0,7
27,4629,6.00,82.00,60.00,74.00,3-4-0,0,7
28,4496,6.00,80.00,50.00,100.00,3-5-0,0,8
29,3019,6.00,74.00,100.00,81.00,3-4-0,0,7
30,3133,6.00,70.00,30.00,42.00,3-3-0,0,6
31,842,6.00,62.00,130.00,59.00,3-3-0,0,6
32,2128,6.00,60.00,50.00,61.00,3-4-0,0,7
33,2375,6.00,54.00,60.00,61.00,3-4-0,0,7
34,698,6.00,54.00,50.00,41.00,3-4-0,0,7
35,3577,6.00,52.00,40.00,58.00,3-4-0,0,7
36,1212,6.00,46.00,70.00,95.00,3-4-0,0,7
37,1828,5.00,54.00,60.00,89.00,2-4-1,0,7
38,2134,5.00,54.00,50.00,44.00,2-4-1,0,7
39,3944,4.00,58.00,40.00,40.00,2-5-0,0,7
40,3281,4.00,56.00,40.00,14.00,2-5-0,0,7
41,3321,4.00,42.00,90.00,92.00,2-5-0,0,7
42,1633,4.00,38.00,40.00,67.00,2-5-0,0,7
43,4111,4.00,38.00,40.00,44.00,2-5-0,0,7
44,2844,4.00,36.00,60.00,76.00,2-5-0,0,7
45,4183,4.00,4.00,50.00,71.00,2-5-0,0,7
46,4018,3.00,46.00,50.00,76.00,1-5-1,0,7
47,2662,3.00,22.00,50.00,69.00,1-5-1,0,7
48,3853,2.00,44.00,70.00,49.00,1-6-0,0,7
49,4202,2.00,22.00,20.00,32.00,1-6-0,0,7
50,4146,2.00,20.00,30.00,64.00,1-6-0,0,7
