Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,3355,2.5,80,52,270,40,2-0-0,0,2
2,5431,2,120,102,734,70,3-1-0,0,4
3,5930,2,40,49,535,25,3-0-0,0,3
4,5417,1.5,75,64,603,55,3-1-0,0,4
5,1296,1.33,80,45,336,15,2-1-0,0,3
6,4192,1.33,65,47,422,50,2-1-0,0,3
7,4219,1.25,140,84,671,50,2-2-0,0,4
8,6171,1,105,67,407,45,1-2-0,0,3
9,6369,1,105,60,607,40,2-2-0,0,4
10,5726,1,100,62,424,80,2-2-0,0,4
11,4206,1,70,64,721,25,2-2-0,0,4
12,7120,0.75,40,80,570,15,1-3-0,0,4
13,1745,0.5,30,46,245,0,0-2-0,0,2
14,3366,0.25,95,82,386,70,0-4-0,0,4
15,2341,0,70,45,402,0,0-3-0,0,3
