Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,2122,11,0,1,12,23.00,11.91
2,399,10,2,0,12,20.00,15.66
3,2993,9,3,0,12,18.00,10.83
4,1696,8,4,0,12,16.00,8.33
5,3243,7,4,1,12,15.00,4.91
6,841,7,4,1,12,15.00,4.41
7,3483,7,5,0,12,14.00,7.75
8,1891,7,5,0,12,14.00,4.50
9,3241,6,5,1,12,13.00,14.75
10,3230,6,4,1,11,13.00,5.41
11,3289,6,5,1,12,13.00,5.25
12,3334,6,4,1,11,13.00,3.91
13,3013,6,5,1,12,13.00,2.50
14,3374,6,6,0,12,12.00,12.25
15,1566,5,4,2,11,12.00,6.33
16,3245,6,6,0,12,12.00,5.75
17,2594,6,6,0,12,12.00,3.83
18,3513,6,5,0,11,12.00,3.66
19,1695,5,5,2,12,12.00,1.75
20,3716,5,6,1,12,11.00,5.66
21,3405,4,4,3,11,11.00,4.33
22,3239,4,6,1,11,9.00,5.66
23,3191,4,6,1,11,9.00,4.16
24,3810,4,7,0,11,8.00,3.33
25,2484,3,8,0,11,6.00,4.91
26,3006,3,7,0,10,6.00,2.33
27,3288,2,7,1,10,5.00,5.16
28,3682,2,5,1,8,5.00,3.66
29,3225,1,6,0,7,2.00,5.16
30,3665,0,4,1,5,1.00,0.75
31,3644,0,4,0,4,0,3.91
