Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,3072,16.00,98.00,120.00,177.00,8-0-0,0,8
2,1403,14.00,224.00,120.00,184.00,7-1-0,0,8
3,3373,14.00,184.00,80.00,199.00,7-1-0,0,8
4,1541,14.00,168.00,130.00,220.00,7-1-0,0,8
5,3015,14.00,142.00,110.00,186.00,7-1-0,0,8
6,1908,14.00,92.00,150.00,157.00,7-1-0,0,8
7,612,14.00,82.00,110.00,237.00,7-1-0,0,8
8,540,14.00,52.00,130.00,177.00,7-1-0,0,8
9,401,12.00,186.00,160.00,236.00,6-2-0,0,8
10,3939,12.00,160.00,70.00,192.00,6-2-0,0,8
11,4472,12.00,140.00,110.00,129.00,6-2-0,0,8
12,611,12.00,120.00,100.00,210.00,6-2-0,0,8
13,1598,12.00,112.00,100.00,159.00,6-2-0,0,8
14,2402,12.00,94.00,170.00,158.00,6-2-0,0,8
15,1829,12.00,62.00,110.00,88.00,6-2-0,0,8
16,422,10.00,194.00,40.00,177.00,5-3-0,0,8
17,1262,10.00,166.00,120.00,241.00,5-3-0,0,8
18,2053,10.00,136.00,140.00,134.00,5-3-0,0,8
19,1895,10.00,136.00,100.00,145.00,5-3-0,0,8
20,2021,10.00,104.00,70.00,109.00,5-3-0,0,8
21,527,10.00,88.00,80.00,224.00,5-3-0,0,8
22,3624,10.00,76.00,280.00,105.00,5-3-0,0,8
23,3361,10.00,76.00,70.00,104.00,5-3-0,0,8
24,2363,8.00,158.00,100.00,195.00,4-4-0,0,8
25,1418,8.00,146.00,90.00,159.00,4-4-0,0,8
26,2199,8.00,136.00,90.00,170.00,4-4-0,0,8
27,388,8.00,130.00,100.00,89.00,4-4-0,0,8
28,4286,8.00,124.00,60.00,70.00,4-4-0,0,8
29,3274,8.00,118.00,70.00,146.00,4-4-0,0,8
30,2106,8.00,110.00,50.00,133.00,4-4-0,0,8
31,1398,8.00,100.00,80.00,177.00,4-4-0,0,8
32,2998,8.00,98.00,130.00,183.00,4-4-0,0,8
33,1610,8.00,96.00,100.00,211.00,4-4-0,0,8
34,2434,8.00,86.00,50.00,112.00,4-4-0,0,8
35,3870,8.00,82.00,90.00,139.00,4-4-0,0,8
36,619,8.00,74.00,90.00,134.00,4-4-0,0,8
37,2068,8.00,68.00,50.00,112.00,4-4-0,0,8
38,3307,8.00,56.00,90.00,100.00,4-4-0,0,8
39,358,8.00,18.00,150.00,50.00,4-4-0,0,8
40,195,6.00,124.00,60.00,205.00,3-5-0,0,8
41,2890,6.00,120.00,60.00,176.00,3-5-0,0,8
42,2988,6.00,100.00,90.00,70.00,3-5-0,0,8
43,1599,6.00,90.00,40.00,57.00,3-5-0,0,8
44,339,6.00,84.00,100.00,84.00,3-5-0,0,8
45,2028,6.00,80.00,70.00,118.00,3-5-0,0,8
46,2186,6.00,80.00,50.00,40.00,3-5-0,0,8
47,346,6.00,66.00,70.00,127.00,3-5-0,0,8
48,3258,6.00,64.00,80.00,81.00,3-5-0,0,8
49,4714,6.00,60.00,60.00,57.00,3-5-0,0,8
50,3709,6.00,48.00,110.00,101.00,3-5-0,0,8
51,3359,6.00,44.00,120.00,110.00,3-5-0,0,8
52,384,4.00,144.00,60.00,100.00,2-6-0,0,8
53,1033,4.00,108.00,20.00,80.00,2-6-0,0,8
54,178,4.00,78.00,100.00,140.00,2-6-0,0,8
55,3872,4.00,78.00,40.00,64.00,2-6-0,0,8
56,714,4.00,74.00,120.00,144.00,2-6-0,0,8
57,4538,4.00,68.00,10.00,106.00,2-5-0,1,8
58,1095,4.00,58.00,100.00,109.00,2-6-0,0,8
59,1522,4.00,58.00,60.00,64.00,2-6-0,0,8
60,3136,4.00,52.00,70.00,136.00,2-6-0,0,8
61,3168,2.00,78.00,40.00,61.00,1-7-0,0,8
62,617,2.00,62.00,60.00,80.00,1-7-0,0,8
63,1137,2.00,36.00,110.00,83.00,1-7-0,0,8
64,1793,0,58.00,50.00,54.00,0-8-0,0,8
65,2107,0,34.00,70.00,35.00,0-8-0,0,8
