2004az_qm1,frc192,frc1492,frc1136,frc1165,70,40
2004az_qm10,frc991,frc606,frc1492,frc1136,25,10
2004az_qm11,frc190,frc1011,frc1165,frc192,75,20
2004az_qm12,frc1456,frc585,frc898,frc1401,20,10
2004az_qm13,frc980,frc80,frc294,frc998,100,25
2004az_qm14,frc234,frc1324,frc610,frc996,25,20
2004az_qm15,frc60,frc1393,frc1290,frc207,35,45
2004az_qm16,frc842,frc861,frc696,frc64,30,70
2004az_qm17,frc1343,frc973,frc1212,frc498,30,25
2004az_qm18,frc872,frc698,frc1223,frc330,60,60
2004az_qm19,frc1011,frc1165,frc1136,frc991,30,35
2004az_qm2,frc606,frc190,frc1011,frc991,0,5
2004az_qm20,frc192,frc190,frc606,frc1492,95,25
2004az_qm21,frc1401,frc1456,frc872,frc1223,0,70
2004az_qm22,frc698,frc330,frc585,frc898,20,10
2004az_qm23,frc1324,frc610,frc998,frc980,65,90
2004az_qm24,frc80,frc294,frc996,frc234,30,40
2004az_qm25,frc64,frc842,frc1393,frc1290,15,5
2004az_qm26,frc207,frc60,frc861,frc696,90,15
2004az_qm27,frc973,frc1212,frc498,frc1343,35,25
2004az_qm28,frc1223,frc192,frc991,frc585,25,15
2004az_qm29,frc1165,frc998,frc606,frc872,20,25
2004az_qm3,frc998,frc898,frc1401,frc294,20,15
2004az_qm30,frc330,frc1136,frc1212,frc1343,60,75
2004az_qm31,frc498,frc973,frc1011,frc698,45,15
2004az_qm32,frc1456,frc64,frc190,frc1324,45,80
2004az_qm33,frc898,frc1393,frc1492,frc80,30,25
2004az_qm34,frc610,frc1401,frc294,frc861,90,30
2004az_qm35,frc980,frc207,frc842,frc234,40,70
2004az_qm36,frc696,frc996,frc60,frc1290,35,115
2004az_qm37,frc998,frc1223,frc1343,frc192,0,10
2004az_qm38,frc585,frc1212,frc872,frc1011,115,25
2004az_qm39,frc696,frc60,frc330,frc973,90,75
2004az_qm4,frc585,frc980,frc80,frc1456,25,0
2004az_qm40,frc1324,frc991,frc698,frc498,25,45
2004az_qm41,frc1165,frc606,frc1393,frc1456,15,10
2004az_qm42,frc80,frc898,frc1136,frc190,60,75
2004az_qm43,frc294,frc610,frc64,frc1492,40,10
2004az_qm44,frc234,frc207,frc1401,frc842,115,65
2004az_qm45,frc1290,frc996,frc861,frc980,10,40
2004az_qm46,frc192,frc872,frc60,frc1343,50,80
2004az_qm47,frc1223,frc585,frc207,frc1212,0,60
2004az_qm48,frc1290,frc330,frc973,frc998,25,25
2004az_qm49,frc1011,frc498,frc842,frc996,70,70
2004az_qm5,frc996,frc1290,frc207,frc610,15,50
2004az_qm50,frc1324,frc698,frc606,frc696,25,0
2004az_qm51,frc1456,frc861,frc991,frc1393,0,15
2004az_qm52,frc64,frc1165,frc234,frc898,35,85
2004az_qm53,frc610,frc1136,frc190,frc80,15,35
2004az_qm54,frc1492,frc1401,frc980,frc294,65,80
2004az_qm55,frc1343,frc1011,frc698,frc1290,20,20
2004az_qm56,frc1212,frc330,frc996,frc207,120,60
2004az_qm57,frc1136,frc294,frc872,frc973,25,25
2004az_qm58,frc1401,frc60,frc80,frc498,55,65
2004az_qm59,frc696,frc842,frc1492,frc1223,20,30
2004az_qm6,frc1393,frc234,frc1324,frc60,10,120
2004az_qm60,frc861,frc234,frc192,frc1456,70,45
2004az_qm61,frc998,frc991,frc898,frc64,35,15
2004az_qm62,frc980,frc610,frc585,frc1165,85,50
2004az_qm63,frc1393,frc190,frc606,frc1324,15,30
2004az_qm64,frc1212,frc698,frc294,frc1290,30,15
2004az_qm65,frc1343,frc1136,frc996,frc1401,30,5
2004az_qm66,frc80,frc606,frc207,frc973,55,70
2004az_qm67,frc1492,frc1393,frc330,frc498,25,140
2004az_qm68,frc190,frc872,frc234,frc696,100,120
2004az_qm69,frc1223,frc1324,frc60,frc1011,25,50
2004az_qm7,frc498,frc696,frc64,frc1212,20,10
2004az_qm70,frc898,frc1456,frc842,frc192,30,30
2004az_qm71,frc991,frc861,frc1165,frc980,55,90
2004az_qm72,frc998,frc64,frc610,frc585,50,65
2004az_qm73,frc498,frc294,frc1290,frc606,45,25
2004az_qm74,frc973,frc698,frc1393,frc996,20,30
2004az_qm75,frc1136,frc1212,frc610,frc998,80,15
2004az_qm76,frc1324,frc1492,frc1401,frc1343,35,5
2004az_qm77,frc207,frc872,frc64,frc190,25,85
2004az_qm78,frc991,frc1165,frc696,frc80,40,60
2004az_qm79,frc1011,frc842,frc330,frc60,25,95
2004az_qm8,frc861,frc1343,frc973,frc842,15,30
2004az_qm80,frc585,frc234,frc861,frc1223,90,30
2004az_qm81,frc192,frc898,frc1456,frc980,30,55
2004az_qm9,frc330,frc872,frc698,frc1223,60,25
