Rank,Team,RP,Match,Auto,Rotor,Touchpad,Pressure,W-L-T,DQ,Played
1,1323,2.5555555999999999,2737,722,1160,900,462,7-2-0,0,9
2,973,2.4444444000000001,2705,557,1080,850,580,7-2-0,0,9
3,2073,2.2222222999999999,2654,482,1140,1050,134,9-0-0,0,9
4,1678,2.2222222999999999,2590,557,1080,900,375,7-2-0,0,9
5,1323B,2,2547,477,1060,950,397,6-3-0,0,9
6,4255B,1.7777778,2680,467,1020,950,320,5-4-0,0,9
7,1671B,1.7777778,2519,554,1200,800,164,7-2-0,0,9
8,971B,1.7777778,2404,413,920,1000,319,6-3-0,0,9
9,5940,1.6666666000000001,2273,259,1000,1000,53,7-2-0,0,9
10,4159,1.6666666000000001,2149,435,1060,750,74,7-2-0,0,9
11,2659,1.5555555999999999,2329,407,1200,850,144,5-4-0,0,9
12,1836,1.5555555999999999,2228,494,1080,900,93,6-3-0,0,9
13,5012,1.4444444000000001,2426,322,1060,1100,46,5-4-0,0,9
14,5817,1.4444444000000001,2356,499,1040,900,206,5-4-0,0,9
15,973B,1.4444444000000001,2311,228,1020,950,66,6-3-0,0,9
16,5104B,1.4444444000000001,2166,322,1000,800,111,5-4-0,0,9
17,3482B,1.4444444000000001,2126,477,1060,650,161,5-4-0,0,9
18,1671,1.3333333999999999,2443,560,1080,900,168,5-4-0,0,9
19,3859,1.3333333999999999,2224,362,980,900,144,5-4-0,0,9
20,1678B,1.3333333999999999,2148,546,1080,800,103,5-4-0,0,9
21,2135B,1.3333333999999999,2058,518,1160,650,83,5-4-0,0,9
22,6305,1.3333333999999999,1933,427,960,650,188,5-4-0,0,9
23,6174,1.2222222,2099,304,1100,750,4,5-4-0,0,9
24,973C,1.2222222,2051,249,900,850,101,5-4-0,0,9
25,5012B,1.2222222,2036,378,1000,800,81,5-4-0,0,9
26,2073B,1.2222222,1956,252,860,750,226,4-5-0,0,9
27,2135,1.1111112000000001,2183,365,1080,850,33,5-4-0,0,9
28,4255,1.1111112000000001,2173,408,1000,850,98,4-5-0,0,9
29,6657,1.1111112000000001,1703,230,780,700,88,4-5-0,0,9
30,971,1,2090,373,920,700,300,2-7-0,0,9
31,5104,0.88888889999999998,2136,374,1000,850,66,3-6-0,0,9
32,3482,0.88888889999999998,2005,468,980,700,100,3-6-0,0,9
33,2813,0.88888889999999998,1975,322,1020,700,75,3-6-0,0,9
34,4171,0.77777779999999996,2082,422,960,750,102,3-6-0,0,9
35,5852,0.77777779999999996,1893,276,920,600,133,2-7-0,0,9
36,3303,0.77777779999999996,1748,362,920,500,78,3-6-0,0,9
37,4159B,0.66666669999999995,1765,255,940,600,0,3-6-0,0,9
38,971C,0.66666669999999995,1698,211,880,650,33,3-6-0,0,9
39,4171B,0.66666669999999995,1645,278,1040,250,135,2-7-0,0,9
40,5817B,0.66666669999999995,1481,486,920,350,106,2-7-0,0,9
41,1678C,0.55555560000000004,1958,396,1000,600,98,2-7-0,0,9
42,5817C,0.55555560000000004,1872,331,860,700,102,2-7-0,0,9
43,3495,0.44444444999999999,1829,348,920,750,4,2-7-0,0,9
44,5700,0.44444444999999999,1645,443,1140,300,45,1-8-0,0,9
