Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,488,21.00,84.00,40.00,85.00,5,8-1-0,0,9
2,118,20.00,106.00,50.00,159.00,4,8-1-0,0,9
3,3743,19.00,42.00,10.00,75.00,3,8-1-0,0,9
4,231,18.00,35.00,80.00,82.00,4,7-2-0,0,9
5,2468,18.00,12.00,80.00,108.00,2,8-1-0,0,9
6,1477,17.00,95.00,40.00,131.00,1,8-1-0,0,9
7,148,16.00,67.00,50.00,139.00,0,8-1-0,0,9
8,2936,16.00,24.00,50.00,68.00,2,7-2-0,0,9
9,3481,14.00,58.00,40.00,68.00,2,6-3-0,0,9
10,3552,14.00,38.00,20.00,32.00,4,5-2-0,2,9
11,3582,14.00,34.00,50.00,70.00,2,6-2-0,1,9
12,457,14.00,20.00,50.00,56.00,0,7-2-0,0,9
13,245,14.00,17.00,80.00,37.00,0,7-2-0,0,9
14,704,12.00,65.00,20.00,76.00,0,6-3-0,0,9
15,3999,12.00,58.00,0,41.00,2,5-3-0,1,9
16,4219,12.00,53.00,20.00,53.00,0,6-3-0,0,9
17,922,12.00,50.00,10.00,65.00,2,5-3-0,1,9
18,3478,12.00,48.00,40.00,47.00,0,6-3-0,0,9
19,3545,12.00,48.00,30.00,62.00,0,6-2-0,1,9
20,2787,12.00,29.00,10.00,61.00,2,5-4-0,0,9
21,2283,12.00,26.00,60.00,67.00,0,6-3-0,0,9
22,3345,12.00,26.00,30.00,44.00,0,6-2-0,1,9
23,3497,11.00,18.00,30.00,63.00,1,5-2-0,2,9
24,1817,10.00,51.00,30.00,49.00,0,5-4-0,0,9
25,3035,10.00,44.00,20.00,109.00,0,5-3-0,1,9
26,3696,10.00,35.00,20.00,33.00,0,5-4-0,0,9
27,4063,10.00,30.00,30.00,45.00,2,4-5-0,0,9
28,653,10.00,24.00,20.00,50.00,2,4-5-0,0,9
29,4000,10.00,17.00,40.00,40.00,0,5-4-0,0,9
30,3240,10.00,0,30.00,58.00,0,5-4-0,0,9
31,2848,9.00,42.00,60.00,67.00,1,4-5-0,0,9
32,2461,9.00,24.00,10.00,17.00,3,3-6-0,0,9
33,3029,9.00,12.00,40.00,44.00,0,4-4-1,0,9
34,3335,8.00,70.00,0,68.00,0,4-5-0,0,9
35,3103,8.00,65.00,30.00,33.00,0,4-5-0,0,9
36,3834,8.00,33.00,10.00,61.00,0,4-5-0,0,9
37,2833,8.00,32.00,10.00,51.00,0,4-5-0,0,9
38,3370,8.00,28.00,30.00,34.00,1,3-5-1,0,9
39,3325,8.00,25.00,0,54.00,0,4-5-0,0,9
40,2985,8.00,23.00,40.00,48.00,0,4-5-0,0,9
41,3080,8.00,12.00,20.00,47.00,0,4-5-0,0,9
42,3417,7.00,28.00,10.00,14.00,1,3-2-0,4,9
43,4282,7.00,9.00,20.00,8.00,0,3-5-1,0,9
44,3028,6.00,32.00,20.00,61.00,2,2-7-0,0,9
45,2966,6.00,28.00,0,40.00,0,3-6-0,0,9
46,3943,6.00,27.00,20.00,31.00,0,3-6-0,0,9
47,2789,6.00,24.00,10.00,24.00,0,3-5-0,1,9
48,2721,6.00,22.00,20.00,68.00,2,2-6-0,1,9
49,4162,6.00,22.00,20.00,40.00,0,3-6-0,0,9
50,3700,6.00,21.00,10.00,53.00,0,3-5-0,1,9
51,4332,6.00,12.00,30.00,44.00,0,3-5-0,1,9
52,2982,6.00,11.00,10.00,27.00,0,3-6-0,0,9
53,3561,4.00,24.00,0,14.00,0,2-6-0,1,9
54,2583,4.00,22.00,10.00,49.00,0,2-6-0,1,9
55,2969,4.00,22.00,10.00,18.00,0,2-7-0,0,9
56,2952,4.00,15.00,20.00,53.00,0,2-6-0,1,9
57,2080,4.00,12.00,30.00,34.00,0,2-7-0,0,9
58,3614,4.00,6.00,0,33.00,0,2-4-0,3,9
59,3366,3.00,18.00,0,18.00,1,1-8-0,0,9
60,499,3.00,6.00,10.00,9.00,0,1-5-1,2,9
61,2158,2.00,28.00,10.00,40.00,0,1-8-0,0,9
62,3353,2.00,5.00,10.00,14.00,0,1-6-0,2,9
63,2745,2.00,5.00,0,19.00,0,1-7-0,1,9
