Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),DQ,Played
1,365,15,148,55,110,300,5-1-0,0,6
2,3974,14,144,50,56,310,4-2-0,0,6
3,4575,13,110,55,101,250,5-1-0,0,6
4,2607,11,154,50,87,285,4-2-0,0,6
5,272,11,116,65,45,295,3-3-0,0,6
6,1218,10,144,40,52,290,3-3-0,0,6
7,4637,10,118,35,53,275,3-3-0,0,6
8,193,10,116,30,46,240,4-2-0,0,6
9,423,10,108,50,41,275,4-2-0,0,6
10,11,10,106,45,42,270,3-3-0,0,6
11,3929,8,144,55,87,270,3-3-0,0,6
12,1389,8,136,45,37,250,3-3-0,0,6
13,1676,8,116,45,34,275,2-4-0,0,6
14,433,7,122,45,48,265,2-4-0,0,6
15,1257,6,78,35,43,260,1-5-0,0,6
16,321,4,94,25,48,235,1-5-0,0,6
17,203,4,92,25,39,230,1-5-0,0,6
