Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,78,32.0,280.0,145.0,182.0,600.0,9-2-1,12
2,95,31.0,254.0,130.0,164.0,585.0,9-3-0,12
3,181,28.0,268.0,130.0,175.0,600.0,8-3-1,12
4,195,28.0,232.0,125.0,234.0,595.0,9-3-0,12
5,176,28.0,230.0,140.0,203.0,550.0,9-3-0,12
6,230,27.0,288.0,115.0,277.0,595.0,8-3-1,12
7,88,27.0,232.0,135.0,179.0,560.0,8-4-0,12
8,1124,25.0,194.0,100.0,247.0,470.0,9-3-0,12
9,3236,24.0,252.0,120.0,142.0,605.0,6-4-2,12
10,121,22.0,242.0,85.0,140.0,570.0,7-4-1,12
11,246,21.0,258.0,105.0,176.0,600.0,6-6-0,12
12,178,21.0,206.0,120.0,151.0,515.0,7-5-0,12
13,5000,20.0,252.0,115.0,174.0,550.0,6-5-1,12
14,69,19.0,246.0,140.0,117.0,575.0,4-7-1,12
15,155,19.0,216.0,165.0,149.0,550.0,5-6-1,12
16,3461,19.0,214.0,110.0,106.0,600.0,5-7-0,12
17,5846,18.0,218.0,100.0,130.0,515.0,5-6-1,12
18,4908,18.0,188.0,130.0,93.0,560.0,5-7-0,12
19,348,17.0,222.0,130.0,104.0,535.0,6-6-0,12
20,4176,17.0,214.0,145.0,113.0,530.0,5-7-0,12
21,1071,17.0,208.0,130.0,119.0,515.0,5-7-0,12
22,3958,17.0,204.0,125.0,119.0,525.0,5-7-0,12
23,3182,17.0,190.0,110.0,113.0,505.0,5-7-0,12
24,4151,17.0,164.0,90.0,124.0,515.0,5-6-1,12
25,5112,16.0,276.0,100.0,135.0,540.0,6-6-0,12
26,1350,16.0,226.0,100.0,105.0,540.0,4-8-0,12
27,5735,16.0,148.0,105.0,135.0,530.0,4-7-1,12
28,6201,14.0,192.0,120.0,102.0,490.0,4-8-0,12
29,5958,13.0,150.0,80.0,72.0,415.0,4-7-0,12
30,1027,12.0,180.0,75.0,85.0,430.0,3-9-0,12
31,4796,11.0,132.0,120.0,95.0,435.0,3-9-0,12
32,5494,7.0,134.0,75.0,88.0,395.0,1-9-0,12
