Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,2468,2.55,360,345,1760,240,7-2-0,0,9
2,2848,2.44,330,365,2059,175,7-2-0,0,9
3,5417,2.22,350,263,1746,230,6-3-0,0,9
4,4610,2.11,395,219,1716,245,6-3-0,0,9
5,6357,2.11,330,297,1924,180,6-3-0,0,9
6,5930,2,495,241,1678,150,6-3-0,0,9
7,1817,1.88,390,269,1721,235,5-4-0,0,9
8,1296,1.88,380,291,1788,220,5-4-0,0,9
9,9989,1.88,355,267,1830,280,4-5-0,0,9
10,4192,1.88,335,251,1777,250,5-4-0,0,9
11,6377,1.88,335,237,1446,315,5-4-0,0,9
12,418,1.88,295,267,1980,175,6-3-0,0,9
13,2158,1.66,310,251,1813,200,5-4-0,0,9
14,3481,1.55,455,201,1550,265,5-4-0,0,9
15,3366,1.55,295,195,1444,170,5-4-0,0,9
16,2583,1.44,410,193,1622,250,5-4-0,0,9
17,3240,1.22,295,263,1211,135,2-7-0,0,9
18,3999,1.11,375,235,1298,180,2-7-0,0,9
19,5052,1.11,275,217,1692,190,3-6-0,0,9
20,3735,1,405,237,1526,240,2-7-0,0,9
21,653,1,290,209,975,175,3-6-0,0,9
22,2881,0.88,330,191,1509,205,2-7-0,0,9
23,4295,0.55,305,197,1248,170,1-8-0,0,9
