Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,781,1,0,0,1,2.00,0
2,3747,1,0,0,1,2.00,0
3,188,1,0,0,1,2.00,0
4,469,1,0,0,1,2.00,0
5,51,1,0,0,1,2.00,0
6,2054,1,0,0,1,2.00,0
7,1503,1,0,0,1,2.00,0
8,2016,1,0,0,1,2.00,0
9,968,1,0,0,1,2.00,0
10,3138,1,0,0,1,2.00,0
11,973,1,0,0,1,2.00,0
12,987,1,0,0,1,2.00,0
13,25,0,1,0,1,0,0
14,1801,0,1,0,1,0,0
15,610,0,1,0,1,0,0
16,2826,0,1,0,1,0,0
17,103,0,1,0,1,0,0
18,254,0,1,0,1,0,0
19,233,0,1,0,1,0,0
20,330,0,1,0,1,0,0
21,217,0,1,0,1,0,0
22,111,0,1,0,1,0,0
23,71,0,1,0,1,0,0
24,177,0,1,0,1,0,0
