Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,341,30.00,145.00,80.00,176.00,14,8-2-0,0,10
2,125,28.00,113.00,70.00,164.00,10,9-1-0,0,10
3,1100,24.00,109.00,80.00,73.00,8,8-2-0,0,10
4,3958,24.00,98.00,80.00,69.00,10,7-3-0,0,10
5,157,24.00,97.00,100.00,122.00,6,9-1-0,0,10
6,233,22.00,103.00,60.00,227.00,8,7-3-0,0,10
7,88,22.00,86.00,100.00,41.00,10,6-4-0,0,10
8,131,20.00,111.00,110.00,152.00,6,7-3-0,0,10
9,2423,20.00,92.00,70.00,69.00,6,7-3-0,0,10
10,2877,20.00,89.00,80.00,40.00,6,7-3-0,0,10
11,69,20.00,52.00,130.00,100.00,4,8-2-0,0,10
12,2876,19.00,79.00,40.00,75.00,8,5-4-1,0,10
13,2084,18.00,130.00,90.00,79.00,6,6-4-0,0,10
14,1153,18.00,106.00,100.00,119.00,6,6-4-0,0,10
15,78,18.00,77.00,90.00,134.00,2,8-2-0,0,10
16,1350,18.00,68.00,100.00,128.00,6,6-4-0,0,10
17,2888,18.00,52.00,80.00,80.00,8,5-5-0,0,10
18,1761,17.00,128.00,40.00,108.00,8,4-5-1,0,10
19,3466,17.00,71.00,50.00,64.00,9,4-6-0,0,10
20,2648,17.00,56.00,80.00,67.00,5,6-4-0,0,10
21,4010,17.00,54.00,40.00,103.00,3,7-3-0,0,10
22,1099,16.00,68.00,70.00,61.00,6,5-5-0,0,10
23,4311,16.00,65.00,30.00,54.00,6,5-5-0,0,10
24,2013,16.00,64.00,80.00,83.00,4,6-4-0,0,10
25,1058,16.00,53.00,40.00,84.00,6,5-5-0,0,10
26,121,15.00,96.00,20.00,78.00,6,4-5-1,0,10
27,1768,14.00,111.00,50.00,99.00,2,6-4-0,0,10
28,1757,14.00,103.00,50.00,78.00,6,4-6-0,0,10
29,2713,14.00,67.00,70.00,121.00,2,6-4-0,0,10
30,1754,14.00,59.00,60.00,62.00,6,4-6-0,0,10
31,2871,14.00,38.00,30.00,71.00,6,4-6-0,0,10
32,246,13.00,66.00,60.00,74.00,2,5-4-1,0,10
33,3927,13.00,37.00,20.00,28.00,6,3-6-1,0,10
34,3236,12.00,105.00,20.00,97.00,4,4-6-0,0,10
35,2349,12.00,69.00,40.00,41.00,2,5-5-0,0,10
36,4176,12.00,68.00,50.00,50.00,6,3-7-0,0,10
37,97,12.00,68.00,40.00,96.00,0,6-4-0,0,10
38,4172,12.00,50.00,60.00,48.00,2,5-5-0,0,10
39,2497,12.00,47.00,100.00,87.00,2,5-5-0,0,10
40,1027,11.00,37.00,80.00,44.00,5,3-7-0,0,10
41,1973,11.00,27.00,20.00,72.00,5,3-6-0,1,10
42,3780,11.00,11.00,80.00,88.00,2,4-5-1,0,10
43,3566,10.00,17.00,50.00,61.00,4,3-7-0,0,10
44,2523,8.00,66.00,30.00,36.00,0,4-6-0,0,10
45,4048,8.00,63.00,40.00,121.00,2,3-7-0,0,10
46,4151,8.00,62.00,20.00,38.00,2,3-7-0,0,10
47,1474,8.00,44.00,70.00,59.00,0,4-5-0,1,10
48,3479,8.00,33.00,30.00,33.00,4,2-6-0,2,10
49,1965,8.00,26.00,40.00,80.00,4,2-8-0,0,10
50,529,7.00,52.00,60.00,55.00,5,1-9-0,0,10
51,4169,6.00,54.00,40.00,60.00,0,3-7-0,0,10
52,2079,6.00,49.00,0,40.00,6,0-10-0,0,10
53,2262,6.00,40.00,20.00,65.00,4,1-9-0,0,10
