Rank,Team,Ranking Score,Match Points,Auto,Rotor,Takeoff,kPa,Record (W-L-T),DQ,Played
1,3258,1.5800000000000001,2888,400,1440,1250,3,9-3-0,0,12
2,5279,1.3300000000000001,2828,505,1400,1150,3,8-4-0,0,12
3,1413,1.3300000000000001,2708,460,1420,1000,3,8-4-0,0,12
4,5950,1.1599999999999999,2711,495,1480,1000,1,7-5-0,0,12
5,5724,1.1599999999999999,2620,440,1340,950,0,7-5-0,0,12
6,2655,0.91000000000000003,2590,345,1260,1050,0,5-7-0,0,12
7,5950B,0.82999999999999996,2353,460,1260,850,3,5-7-0,0,12
8,977,0.66000000000000003,2570,525,1400,950,0,4-8-0,0,12
9,5950C,0.66000000000000003,2306,265,1200,900,1,4-8-0,0,12
10,1262,0.57999999999999996,2562,335,1420,950,7,3-9-0,0,12
