Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,3266,18.00,236.00,130.00,372.00,9-1-0,0,10
2,279,17.00,92.00,190.00,197.00,8-1-1,0,10
3,379,16.00,246.00,140.00,269.00,8-2-0,0,10
4,3324,16.00,240.00,200.00,255.00,8-2-0,0,10
5,2783,16.00,228.00,170.00,316.00,8-2-0,0,10
6,3138,16.00,216.00,150.00,229.00,8-2-0,0,10
7,4521,16.00,196.00,290.00,267.00,8-2-0,0,10
8,1038,15.00,142.00,180.00,336.00,7-2-1,0,10
9,4085,14.00,240.00,170.00,298.00,7-3-0,0,10
10,1985,14.00,216.00,180.00,247.00,7-3-0,0,10
11,378,14.00,208.00,190.00,281.00,7-3-0,0,10
12,3193,14.00,198.00,150.00,279.00,7-3-0,0,10
13,1528,14.00,194.00,130.00,248.00,7-3-0,0,10
14,4008,14.00,168.00,160.00,147.00,7-3-0,0,10
15,3301,14.00,148.00,80.00,336.00,7-3-0,0,10
16,48,12.00,246.00,170.00,252.00,6-4-0,0,10
17,4028,12.00,214.00,200.00,311.00,6-4-0,0,10
18,1018,12.00,182.00,170.00,345.00,6-4-0,0,10
19,3186,12.00,136.00,130.00,155.00,6-4-0,0,10
20,554,10.00,216.00,130.00,203.00,5-5-0,0,10
21,447,10.00,196.00,130.00,250.00,5-5-0,0,10
22,1760,10.00,190.00,180.00,183.00,5-5-0,0,10
23,1008,10.00,180.00,140.00,285.00,5-5-0,0,10
24,4279,10.00,158.00,170.00,141.00,5-5-0,0,10
25,2665,10.00,132.00,90.00,225.00,5-5-0,0,10
26,4283,10.00,122.00,160.00,251.00,5-5-0,0,10
27,1270,10.00,112.00,270.00,169.00,5-5-0,0,10
28,4070,10.00,98.00,270.00,188.00,5-5-0,0,10
29,1533,10.00,76.00,370.00,190.00,5-5-0,0,10
30,4269,9.00,182.00,200.00,151.00,4-5-1,0,10
31,276,9.00,136.00,190.00,165.00,4-5-1,0,10
32,3496,9.00,110.00,220.00,132.00,4-4-1,1,10
33,1308,8.00,190.00,130.00,227.00,4-6-0,0,10
34,2641,8.00,182.00,170.00,172.00,4-6-0,0,10
35,306,8.00,174.00,160.00,136.00,4-6-0,0,10
36,1643,8.00,166.00,110.00,127.00,4-6-0,0,10
37,3484,8.00,150.00,160.00,184.00,4-6-0,0,10
38,4504,8.00,126.00,160.00,122.00,4-6-0,0,10
39,291,8.00,118.00,170.00,252.00,4-6-0,0,10
40,144,8.00,100.00,230.00,192.00,4-6-0,0,10
41,4284,8.00,82.00,90.00,258.00,4-6-0,0,10
42,4115,7.00,136.00,130.00,209.00,3-6-1,0,10
43,3010,6.00,184.00,180.00,219.00,3-7-0,0,10
44,2709,6.00,112.00,120.00,213.00,3-7-0,0,10
45,3000,6.00,100.00,140.00,135.00,3-7-0,0,10
46,3814,6.00,98.00,320.00,104.00,3-7-0,0,10
47,1014,6.00,78.00,150.00,214.00,3-7-0,0,10
48,4753,4.00,200.00,110.00,137.00,2-8-0,0,10
49,2917,4.00,118.00,80.00,106.00,2-8-0,0,10
50,451,4.00,106.00,200.00,84.00,2-8-0,0,10
51,4275,2.00,140.00,140.00,71.00,1-8-0,1,10
52,1529,2.00,102.00,140.00,177.00,1-9-0,0,10
53,4234,2.00,90.00,170.00,152.00,1-9-0,0,10
