Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,2056,8,0,0,8,16.00,45.50,109
2,2386,7,1,0,8,14.00,49.87,108
3,188,6,2,0,8,12.00,55.50,141
4,1219,6,2,0,8,12.00,51.87,76
5,610,6,2,0,8,12.00,48.25,109
6,1334,6,2,0,8,12.00,47.75,95
7,854,6,2,0,8,12.00,47.62,86
8,2505,6,2,0,8,12.00,42.50,80
9,1535,6,2,0,8,12.00,40.50,89
10,1310,6,2,0,8,12.00,39.12,69
11,1305,5,3,0,8,10.00,53.87,86
12,1114,5,3,0,8,10.00,49.50,90
13,886,5,3,0,8,10.00,47.37,86
14,2852,5,3,0,8,10.00,46.37,79
15,1503,5,3,0,8,10.00,46.12,82
16,2013,5,3,0,8,10.00,45.50,70
17,2809,5,3,0,8,10.00,44.25,82
18,1006,5,3,0,8,10.00,43.37,93
19,1141,5,3,0,8,10.00,40.00,89
20,1547,5,3,0,8,10.00,37.00,72
21,1605,5,3,0,8,10.00,28.75,84
22,772,4,4,0,8,8.00,58.25,80
23,1126,4,4,0,8,8.00,53.75,105
24,919,4,4,0,8,8.00,52.37,82
25,1241,4,4,0,8,8.00,49.37,141
26,2625,4,4,0,8,8.00,49.12,86
27,2200,4,4,0,8,8.00,47.12,108
28,1404,4,4,0,8,8.00,46.75,81
29,2166,4,4,0,8,8.00,43.37,81
30,1559,4,4,0,8,8.00,42.75,89
31,1835,4,4,0,8,8.00,42.50,70
32,1518,4,4,0,8,8.00,41.50,82
33,2076,4,4,0,8,8.00,40.75,141
34,1075,4,4,0,8,8.00,40.75,85
35,677,4,4,0,8,8.00,40.12,70
36,1325,4,4,0,8,8.00,38.25,95
37,771,4,4,0,8,8.00,37.87,60
38,1482,4,4,0,8,8.00,37.37,88
39,3117,4,4,0,8,8.00,34.75,80
40,2935,3,5,0,8,6.00,50.50,82
41,781,3,5,0,8,6.00,49.75,98
42,1244,3,5,0,8,6.00,45.62,98
43,2361,3,5,0,8,6.00,40.75,84
44,907,3,5,0,8,6.00,39.87,109
45,1312,3,5,0,8,6.00,38.00,105
46,2185,3,5,0,8,6.00,37.87,88
47,1815,3,5,0,8,6.00,34.25,50
48,2198,3,5,0,8,6.00,33.62,82
49,843,2,6,0,8,4.00,50.62,76
50,1846,2,6,0,8,4.00,49.37,66
51,2626,2,6,0,8,4.00,45.75,76
52,2994,2,6,0,8,4.00,42.37,81
53,2634,2,6,0,8,4.00,38.37,82
54,1514,2,6,0,8,4.00,36.25,90
55,865,2,6,0,8,4.00,35.75,64
56,2670,2,5,0,7,4.00,32.50,56
57,1053,1,6,0,7,2.00,36.25,85
58,1246,1,7,0,8,2.00,36.25,68
59,1558,1,7,0,8,2.00,34.62,70
