Rank,Team,Ranking Score,Match Points,Auto,Rotor,Takeoff,kPa,Record (W-L-T),DQ,Played
1,694,1.8,1317,266,700,500,12,4-1-0,0,5
2,747,1.6000000000000001,1396,370,700,600,1,4-1-0,0,5
3,1279,1.6000000000000001,1310,375,660,550,0,4-1-0,0,5
4,533,1.6000000000000001,1274,250,620,550,4,4-1-0,0,5
5,75,1.6000000000000001,1135,255,580,450,0,4-1-0,0,5
6,2601,1.6000000000000001,1089,125,540,350,4,4-1-0,0,5
7,806,1.3999999999999999,1295,255,620,500,0,3-1-1,0,5
8,303,1.3999999999999999,1276,382,660,400,16,3-1-1,0,5
9,1923,1.3999999999999999,1246,136,620,500,6,3-2-0,0,5
10,25,1.3999999999999999,1230,255,580,550,0,3-1-1,0,5
11,1089,1.3999999999999999,1075,250,580,400,0,3-2-0,0,5
12,6401,1.3999999999999999,877,107,500,300,2,3-1-1,0,5
13,6897,1.3999999999999999,839,134,460,300,4,3-1-1,0,5
14,2590,1.2,1321,201,640,550,6,3-2-0,0,5
15,6327,1.2,1255,255,580,550,0,3-2-0,0,5
16,1626,1.2,1162,322,680,400,7,3-2-0,0,5
17,369,1.2,1159,194,600,450,4,3-2-0,0,5
18,222,1.2,1030,185,560,400,0,3-2-0,0,5
19,2180,1.2,1016,255,540,400,1,3-2-0,0,5
20,5895,1,1161,256,660,400,6,2-2-1,0,5
21,4361,1,1140,250,620,450,0,2-2-1,0,5
22,4575,1,1082,202,600,400,17,2-3-0,0,5
23,224,1,847,197,520,200,2,2-3-0,0,5
24,333,0.80000000000000004,1341,261,660,550,6,2-3-0,0,5
25,219,0.80000000000000004,1275,255,620,500,5,2-3-0,0,5
26,271,0.80000000000000004,1107,242,620,400,2,2-3-0,0,5
27,56,0.80000000000000004,1085,195,560,400,0,2-3-0,0,5
28,4653,0.80000000000000004,1067,307,720,250,2,1-3-1,0,5
29,1257,0.80000000000000004,995,190,520,300,0,2-3-0,0,5
30,2458,0.80000000000000004,960,195,480,350,5,2-3-0,0,5
31,3637,0.59999999999999998,1060,310,640,350,0,1-3-1,0,5
32,2554,0.59999999999999998,1051,256,620,350,1,1-3-1,0,5
33,5421,0.40000000000000002,1016,256,540,350,1,1-4-0,0,5
34,102,0.40000000000000002,995,245,580,350,0,1-4-0,0,5
35,9990,0.40000000000000002,940,300,520,250,0,1-4-0,0,5
36,527,0.40000000000000002,935,310,560,250,0,1-4-0,0,5
37,3340,0.40000000000000002,930,360,620,250,0,1-4-0,0,5
38,3142,0.20000000000000001,920,250,500,300,0,0-4-1,0,5
39,41,0.20000000000000001,895,115,540,300,0,0-4-1,0,5
