Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),DQ,Played
1,1986,30,278,135,372,465,8-1-0,0,9
2,3284,24,251,130,281,500,6-2-1,0,9
3,1806,24,236,80,277,465,8-1-0,0,9
4,3528,24,235,115,247,490,6-3-0,0,9
5,3937,23,246,135,267,470,7-2-0,0,9
6,1723,23,203,105,205,455,7-2-0,0,9
7,5013,23,201,100,179,470,7-2-0,0,9
8,1985,22,226,115,170,510,6-3-0,0,9
9,5801,22,213,120,174,495,6-3-0,0,9
10,1847,21,254,95,209,480,6-3-0,0,9
11,1769,21,228,85,178,500,6-3-0,0,9
12,648,20,226,120,126,470,6-3-0,0,9
13,1108,20,223,115,230,460,5-4-0,0,9
14,1730,20,200,135,153,450,5-4-0,0,9
15,4646,20,200,95,168,430,6-3-0,0,9
16,1094,19,262,110,166,480,4-4-1,0,9
17,2357,19,230,125,166,485,5-3-1,0,9
18,1939,19,227,125,207,430,5-4-0,0,9
19,1987,19,220,130,219,465,4-4-1,0,9
20,4329,19,205,115,159,455,5-4-0,0,9
21,4388,19,186,135,173,475,5-4-0,0,9
22,525,18,238,95,235,465,4-5-0,0,9
23,4455,18,230,105,168,465,5-4-0,0,9
24,2001,18,223,125,187,445,5-4-0,0,9
25,432,18,202,115,182,450,5-4-0,0,9
26,1444,18,183,100,195,415,5-4-0,0,9
27,1777,18,182,110,135,440,5-4-0,0,9
28,1764,16,224,115,152,440,5-4-0,0,9
29,1785,16,206,75,182,445,4-5-0,0,9
30,5006,16,202,105,136,470,4-5-0,0,9
31,2410,16,189,105,192,395,4-4-1,0,9
32,1775,16,183,115,134,405,4-4-1,0,9
33,1982,15,232,95,144,505,3-6-0,0,9
34,2335,15,211,115,146,460,4-5-0,0,9
35,1763,15,186,100,138,450,4-5-0,0,9
36,1710,14,236,115,189,450,4-5-0,0,9
37,1997,14,144,100,122,435,4-5-0,0,9
38,1802,13,230,135,155,440,4-5-0,0,9
39,5918,13,223,85,166,460,3-6-0,0,9
40,3928,13,215,85,134,435,4-5-0,0,9
41,2560,13,194,110,106,455,3-6-0,0,9
42,3485,10,224,85,107,445,2-7-0,0,9
43,5119,10,178,65,131,385,3-6-0,0,9
44,1810,10,175,70,135,380,2-7-0,0,9
45,5809,9,156,105,109,350,3-6-0,0,9
46,5968,8,192,90,100,405,1-8-0,0,9
47,1994,8,185,110,150,395,2-7-0,0,9
48,1984,7,168,95,151,320,2-7-0,0,9
49,6419,7,126,55,89,365,1-7-0,1,9
50,6424,4,142,70,85,395,0-9-0,0,9
