Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,1024,75.5,0,192,360,128,226,12
2,234,65.66,0,184,200,226,214,12
3,5188,64.33,0,316,160,72,266,12
4,3947,60.25,4,264,80,125,256,12
5,4103,58.16,4,204,160,162,174,12
6,3559,54.91,4,152,200,181,146,12
7,447,54.08,4,144,240,59,202,12
8,3176,51.83,0,144,160,146,184,12
9,461,49.66,4,176,120,110,210,12
10,1501,49.41,0,260,0,117,228,12
11,3487,49.16,4,156,160,122,154,12
12,3494,49.0,8,176,80,126,198,12
13,1018,48.58,4,100,200,101,202,12
14,5403,48.58,8,116,120,207,150,12
15,1529,48.33,12,92,120,178,196,12
16,1720,47.08,0,184,0,229,158,12
17,868,46.25,12,164,40,125,220,12
18,4272,44.83,8,100,160,78,192,12
19,4982,43.91,4,92,120,155,168,12
20,1741,43.66,0,140,120,142,140,12
21,3147,42.83,0,92,120,154,166,12
22,1747,39.66,0,84,120,112,190,12
23,4926,39.41,0,80,120,77,202,12
24,5010,39.25,16,84,120,153,134,12
25,3940,39.0,4,60,160,114,160,12
26,4211,38.83,0,112,120,64,176,12
27,829,38.33,0,160,40,82,214,12
28,2360,38.16,0,88,160,98,136,12
29,4846,37.33,0,96,120,126,106,12
30,3180,37.08,8,108,40,159,142,12
31,2171,35.91,0,64,120,121,144,12
32,4008,35.33,0,80,120,126,116,12
33,4234,35.25,0,120,120,67,122,12
34,1646,33.83,0,132,40,96,168,12
