Rank,Team,RP,Match,Auto,Rotor,Touchpad,Pressure,W-L-T,DQ,Played
1,254,2.5,3335,759,1420,1250,465,7-3-0,0,10
2,115,2.2,3220,803,1580,1150,230,7-3-0,0,10
3,1323,2.2,3178,642,1280,1250,458,6-4-0,0,10
4,5499,2.1,3059,744,1400,1250,224,8-2-0,0,10
5,973,2,3336,960,1360,1050,651,5-5-0,0,10
6,1700,2,3176,751,1440,1250,236,7-3-0,0,10
7,5012,2,3159,655,1500,1200,174,7-3-0,0,10
8,1678,1.9,2985,645,1220,1150,405,6-4-0,0,10
9,8,1.8,3148,644,1520,1200,43,6-4-0,0,10
10,3647,1.8,3100,595,1480,1200,205,6-4-0,0,10
11,3309,1.8,2839,685,1300,900,389,5-5-0,0,10
12,649,1.7,3023,775,1460,1150,188,6-4-0,0,10
13,3256,1.7,2999,683,1380,1150,199,6-4-0,0,10
14,1011,1.7,2986,653,1440,1200,96,6-4-0,0,10
15,971,1.7,2952,724,1260,1050,337,6-4-0,0,10
16,1538,1.7,2701,625,1400,900,151,6-4-0,0,10
17,2135,1.6,2979,559,1360,1250,109,6-4-0,0,10
18,1671,1.6,2797,503,1320,1150,27,7-3-0,0,10
19,846,1.5,2998,818,1400,1100,198,5-5-0,0,10
20,5818,1.5,2989,735,1440,1150,159,5-5-0,0,10
21,5104,1.5,2939,688,1280,1200,144,6-4-0,0,10
22,399,1.5,2879,426,1220,1100,204,6-4-0,0,10
23,5026,1.5,2863,615,1420,1050,138,5-5-0,0,10
24,114,1.4,2783,549,1260,1100,218,5-5-0,0,10
25,1868,1.4,2779,601,1260,1050,79,6-4-0,0,10
26,4990,1.3,3096,608,1500,1250,126,4-6-0,0,10
27,3859,1.3,2628,644,1340,950,178,4-6-0,0,10
28,701,1.2,2702,537,1260,1100,182,3-7-0,0,10
29,604,1.2,2542,613,1380,900,77,4-6-0,0,10
30,199,1.1,2816,598,1240,1150,176,4-6-0,0,10
31,5829,1.1,2549,398,1060,1050,189,4-6-0,0,10
32,6418,1,2495,613,1300,900,95,4-6-0,0,10
33,2073,1,2469,543,1220,850,124,4-6-0,0,10
34,3476,0.9,2724,653,1360,1050,94,4-6-0,0,10
35,841,0.9,2663,555,1320,1000,118,3-7-0,0,10
36,696,0.9,2484,736,1280,800,189,3-7-0,0,10
37,4904,0.7,2341,552,1040,900,151,3-7-0,0,10
38,668,0.6,2353,555,1160,950,88,2-8-0,0,10
39,3925,0.5,2690,417,1280,950,80,2-8-0,0,10
40,968,0.4,2276,541,1200,800,126,1-9-0,0,10
