Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,1114,9,1,0,10,18.00,35.20
2,1507,9,1,0,10,18.00,26.70
3,772,8,2,0,10,16.00,23.30
4,2614,8,2,0,10,16.00,10.70
5,1503,7,3,0,10,14.00,28.10
6,1038,7,3,0,10,14.00,27.00
7,337,7,3,0,10,14.00,18.70
8,1319,6,3,1,10,13.00,27.10
9,48,6,4,0,10,12.00,31.30
10,63,6,4,0,10,12.00,23.00
11,378,6,4,0,10,12.00,20.70
12,3260,6,3,0,9,12.00,20.20
13,291,6,4,0,10,12.00,16.90
14,2252,5,4,1,10,11.00,24.20
15,2544,5,4,1,10,11.00,8.10
16,3138,5,4,0,9,10.00,23.90
17,2641,5,5,0,10,10.00,16.60
18,2172,5,5,0,10,10.00,10.70
19,3062,4,5,1,10,9.00,14.50
20,1249,4,5,1,10,9.00,12.20
21,128,4,6,0,10,8.00,23.80
22,1629,4,6,0,10,8.00,23.30
23,1533,4,6,0,10,8.00,20.50
24,2618,4,5,0,9,8.00,18.00
25,3511,4,6,0,10,8.00,17.40
26,3567,4,6,0,10,8.00,17.20
27,2603,4,6,0,10,8.00,13.60
28,771,3,5,2,10,8.00,12.20
29,306,4,5,0,9,8.00,8.10
30,3504,3,6,1,10,7.00,19.40
31,3193,3,6,1,10,7.00,18.70
32,1743,3,6,1,10,7.00,14.10
33,1541,3,7,0,10,6.00,31.60
34,1708,3,7,0,10,6.00,22.30
35,2656,3,7,0,10,6.00,15.70
36,2051,3,7,0,10,6.00,11.00
37,117,2,6,1,9,5.00,15.10
38,3492,2,7,1,10,5.00,8.10
39,3356,2,8,0,10,4.00,16.20
