Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,225,2.8,300,214,1362,165,5-0-0,0,5
2,708,2.8,135,199,1150,125,5-0-0,0,5
3,1218,2.4,265,188,1033,95,4-1-0,0,5
4,4027,2.4,225,211,1255,125,4-1-0,0,5
5,365,2.4,225,201,1135,135,4-1-0,0,5
6,1712,2.2,260,240,1250,110,3-2-0,0,5
7,1640,2.2,240,184,1089,155,3-2-0,0,5
8,6808,2,285,159,939,160,3-2-0,0,5
9,2539,2,260,163,1179,135,4-1-0,0,5
10,4361,2,190,164,1150,145,3-2-0,0,5
11,2590,1.8,365,156,997,120,2-3-0,0,5
12,5401,1.8,250,118,924,135,3-2-0,0,5
13,316,1.8,230,173,1050,125,3-2-0,0,5
14,834,1.6,285,120,944,90,3-2-0,0,5
15,341,1.6,265,236,971,90,2-3-0,0,5
16,5404,1.6,225,190,965,160,2-3-0,0,5
17,272,1.6,185,186,1041,120,3-2-0,0,5
18,484,1.6,180,232,985,80,2-3-0,0,5
19,1403,1.6,170,138,1027,120,3-2-0,0,5
20,607,1.6,140,78,1137,55,3-2-0,0,5
21,1676,1.4,225,175,1007,125,2-3-0,0,5
22,2016,1.4,180,174,813,200,2-3-0,0,5
23,2607,1.4,175,160,993,70,2-3-0,0,5
24,433,1.2,265,169,900,135,1-4-0,0,5
25,321,1.2,255,192,1103,130,2-3-0,0,5
26,2559,1.2,235,140,1042,130,3-2-0,0,5
27,1391,1.2,230,214,1074,135,2-3-0,0,5
28,3151,1.2,215,183,851,165,1-4-0,0,5
29,11,1.2,195,154,836,115,1-4-0,0,5
30,423,1,250,114,709,90,2-3-0,0,5
31,4750,1,245,119,847,85,2-3-0,0,5
32,3314,1,170,154,997,110,2-3-0,0,5
33,103,1,165,118,931,115,2-3-0,0,5
34,293,0.6,200,139,807,110,1-4-0,0,5
35,224,0.6,120,131,838,55,1-4-0,0,5
36,6897,0,175,66,606,105,0-5-0,0,5
