Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,2056,124.5,146,488,160,131,338,10
2,2852,95.3,20,416,40,181,314,10
3,1325,71.6,0,296,0,198,240,10
4,2228,67.3,20,232,80,135,230,10
5,1241,55.9,20,60,80,119,298,10
6,1246,51.3,24,148,40,145,168,10
7,3990,50.7,0,136,0,165,224,10
8,781,50.0,0,156,40,132,190,10
9,2935,48.2,6,136,40,122,178,10
10,1815,47.7,20,156,40,109,182,10
11,378,46.2,20,144,0,170,146,10
12,2013,46.0,0,88,0,252,132,10
13,5031,45.8,0,88,0,162,232,10
14,746,44.8,4,160,40,64,198,10
15,3988,44.1,20,112,40,153,134,10
16,5719,43.9,20,88,80,119,162,10
17,5428,43.1,0,92,40,115,208,10
18,4476,42.9,0,80,80,123,164,10
19,3387,42.7,20,140,0,147,150,10
20,5051,42.2,24,112,40,96,162,10
21,5036,42.0,20,128,20,110,166,10
22,5596,41.2,0,148,0,98,190,10
23,578,39.5,0,84,0,115,216,10
24,3117,39.1,0,92,0,139,178,10
25,2198,38.8,20,68,80,114,124,10
26,886,38.7,0,104,40,77,172,10
27,3173,38.4,0,120,40,116,126,10
28,4718,37.8,0,92,40,122,160,10
29,5094,37.4,20,84,40,94,148,10
30,3710,37.2,0,120,0,154,140,10
31,1305,37.0,6,140,0,110,144,10
32,3986,36.6,0,124,0,82,184,10
33,3530,36.1,20,124,20,87,176,10
34,4704,35.7,0,60,0,181,140,10
35,2340,35.5,0,100,20,109,156,10
36,2185,34.5,0,124,0,77,150,10
37,4252,34.4,4,88,0,142,128,10
38,4783,33.8,0,84,20,118,170,10
39,3386,33.5,0,136,0,85,162,10
40,5076,32.0,4,36,40,140,132,10
41,3550,31.5,0,88,0,141,104,10
42,4732,31.1,0,92,0,75,150,10
43,4825,30.4,4,72,40,62,150,10
44,4015,30.3,0,84,0,129,140,10
45,5652,29.4,0,56,40,84,138,10
46,4248,26.3,0,60,0,95,108,10
47,4627,23.6,0,44,0,118,110,10
