Rank,Team,Ranking Score,Match Points,Auto,Rotor,Touchpad,Pressure,Record (W-L-T),Played
1,3512,1.8100000000000001,2615.0,620.0,1360.0,950.0,0.0,10-1-0,11
2,599,1.54,2209.0,332.0,1060.0,900.0,19.0,8-2-1,11
3,5137,1.45,2364.0,628.0,1200.0,850.0,14.0,8-3-0,11
4,6560,1.45,2321.0,376.0,1200.0,950.0,11.0,8-3-0,11
5,3759,1.45,2305.0,390.0,1120.0,1000.0,5.0,8-3-0,11
6,4711,1.27,2411.0,446.0,1140.0,1000.0,11.0,7-4-0,11
7,2576,1.27,2401.0,310.0,1220.0,900.0,1.0,7-4-0,11
8,702,1.27,2282.0,439.0,1140.0,800.0,12.0,7-4-0,11
9,4913,1.27,1983.0,387.0,1000.0,750.0,3.0,7-4-0,11
10,1515,1.27,1915.0,385.0,1040.0,650.0,0.0,7-4-0,11
11,5802,1.1799999999999999,2449.0,554.0,1380.0,850.0,9.0,6-4-1,11
12,3925,1.1799999999999999,2146.0,335.0,1100.0,750.0,21.0,6-5-0,11
13,4964,1.1799999999999999,1871.0,375.0,920.0,750.0,6.0,6-3-1,11
14,981,1.0900000000000001,2175.0,388.0,1000.0,850.0,10.0,5-4-2,11
15,2429,1.0900000000000001,2126.0,565.0,1020.0,900.0,16.0,6-5-0,11
16,3021,1.0900000000000001,2036.0,338.0,1140.0,550.0,16.0,6-5-0,11
17,3882,1.0900000000000001,2003.0,235.0,900.0,850.0,68.0,6-5-0,11
18,5869,1.0900000000000001,1960.0,135.0,1080.0,650.0,10.0,6-5-0,11
19,5818,1.0,2573.0,508.0,1280.0,800.0,13.0,5-6-0,11
20,8,1.0,2470.0,370.0,1360.0,750.0,0.0,5-6-0,11
21,1661,1.0,2012.0,378.0,1240.0,500.0,12.0,5-5-1,11
22,1967,1.0,1972.0,140.0,800.0,950.0,7.0,5-5-1,11
23,5136,1.0,1934.0,303.0,1060.0,700.0,4.0,5-5-1,11
24,1138,0.90000000000000002,2108.0,265.0,1100.0,600.0,3.0,5-6-0,11
25,3851,0.90000000000000002,2067.0,315.0,980.0,750.0,2.0,5-6-0,11
26,5678,0.90000000000000002,2066.0,533.0,1220.0,650.0,11.0,5-6-0,11
27,3965,0.90000000000000002,1937.0,272.0,1080.0,500.0,7.0,5-6-0,11
28,2443,0.90000000000000002,1777.0,351.0,900.0,500.0,77.0,5-6-0,11
29,2489,0.90000000000000002,1737.0,325.0,1060.0,500.0,7.0,5-6-0,11
30,589,0.81000000000000005,1915.0,262.0,1080.0,550.0,15.0,4-6-1,11
31,5477,0.71999999999999997,2050.0,325.0,940.0,850.0,0.0,4-7-0,11
32,6553,0.71999999999999997,2004.0,326.0,1060.0,600.0,14.0,4-7-0,11
33,114,0.71999999999999997,1896.0,245.0,1080.0,600.0,6.0,4-7-0,11
34,5857,0.71999999999999997,1791.0,334.0,1020.0,550.0,11.0,4-7-0,11
35,3863,0.71999999999999997,1761.0,174.0,940.0,700.0,11.0,4-7-0,11
36,4078,0.71999999999999997,1511.0,100.0,880.0,500.0,11.0,4-7-0,11
37,1622,0.63,2038.0,330.0,980.0,850.0,8.0,3-7-1,11
38,6764,0.63,1710.0,267.0,1000.0,450.0,10.0,3-7-1,11
39,6398,0.63,1697.0,288.0,920.0,550.0,17.0,3-7-1,11
40,580,0.54000000000000004,1543.0,218.0,860.0,450.0,28.0,3-8-0,11
41,3993,0.54000000000000004,1445.0,333.0,980.0,250.0,25.0,3-8-0,11
42,3859,0.35999999999999999,1828.0,299.0,1020.0,500.0,58.0,2-9-0,11
