Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,1648,16.00,94.00,100.00,198.00,8-0-0,0,8
2,3490,14.00,180.00,160.00,69.00,7-1-0,0,8
3,11,14.00,168.00,130.00,272.00,7-1-0,0,8
4,435,14.00,162.00,180.00,102.00,7-1-0,0,8
5,4073,14.00,156.00,180.00,161.00,7-1-0,0,8
6,836,14.00,156.00,150.00,108.00,7-1-0,0,8
7,4451,14.00,100.00,300.00,229.00,7-1-0,0,8
8,1102,12.00,156.00,60.00,140.00,6-2-0,0,8
9,1553,12.00,152.00,110.00,148.00,6-2-0,0,8
10,1772,12.00,146.00,80.00,160.00,6-2-0,0,8
11,245,12.00,132.00,130.00,282.00,6-2-0,0,8
12,1319,12.00,118.00,140.00,79.00,6-2-0,0,8
13,401,12.00,108.00,110.00,151.00,6-2-0,0,8
14,2914,12.00,86.00,110.00,142.00,6-2-0,0,8
15,1610,12.00,84.00,110.00,200.00,6-2-0,0,8
16,1027,12.00,54.00,130.00,108.00,6-2-0,0,8
17,2363,10.00,134.00,100.00,180.00,5-3-0,0,8
18,343,10.00,128.00,120.00,121.00,5-3-0,0,8
19,346,10.00,120.00,140.00,93.00,5-3-0,0,8
20,1758,10.00,102.00,150.00,151.00,5-3-0,0,8
21,3506,10.00,98.00,60.00,80.00,5-3-0,0,8
22,1287,10.00,94.00,100.00,182.00,5-3-0,0,8
23,415,10.00,82.00,150.00,109.00,5-3-0,0,8
24,281,10.00,78.00,70.00,125.00,5-3-0,0,8
25,587,10.00,38.00,150.00,101.00,5-3-0,0,8
26,539,10.00,36.00,200.00,76.00,5-3-0,0,8
27,3824,8.00,130.00,100.00,193.00,4-4-0,0,8
28,2059,8.00,108.00,130.00,217.00,4-4-0,0,8
29,2815,8.00,104.00,70.00,73.00,4-4-0,0,8
30,1598,8.00,94.00,100.00,71.00,4-4-0,0,8
31,2632,8.00,88.00,160.00,99.00,4-4-0,0,8
32,4582,8.00,84.00,100.00,158.00,4-4-0,0,8
33,4074,8.00,72.00,100.00,83.00,4-4-0,0,8
34,4823,8.00,66.00,120.00,43.00,4-4-0,0,8
35,88,8.00,54.00,110.00,119.00,4-4-0,0,8
36,3196,8.00,52.00,210.00,63.00,4-4-0,0,8
37,3459,6.00,124.00,110.00,85.00,3-5-0,0,8
38,1915,6.00,88.00,70.00,112.00,3-3-0,2,8
39,1293,6.00,78.00,80.00,103.00,3-5-0,0,8
40,3489,6.00,76.00,100.00,89.00,3-5-0,0,8
41,4243,6.00,76.00,60.00,107.00,3-5-0,0,8
42,4075,6.00,70.00,100.00,146.00,3-5-0,0,8
43,4452,6.00,66.00,130.00,107.00,3-5-0,0,8
44,538,6.00,64.00,120.00,117.00,3-5-0,0,8
45,4533,6.00,54.00,120.00,55.00,3-5-0,0,8
46,3140,6.00,54.00,90.00,72.00,3-5-0,0,8
47,3959,6.00,44.00,140.00,32.00,3-5-0,0,8
48,4847,6.00,40.00,80.00,64.00,3-5-0,0,8
49,2655,6.00,10.00,170.00,93.00,3-5-0,0,8
50,3242,4.00,100.00,80.00,115.00,2-5-0,1,8
51,1051,4.00,86.00,70.00,54.00,2-6-0,0,8
52,1261,4.00,68.00,100.00,108.00,2-6-0,0,8
53,619,4.00,66.00,70.00,83.00,2-6-0,0,8
54,1398,4.00,62.00,70.00,137.00,2-6-0,0,8
55,4083,4.00,60.00,70.00,71.00,2-5-0,1,8
56,4261,4.00,56.00,90.00,81.00,2-6-0,0,8
57,4722,4.00,44.00,60.00,81.00,2-4-0,2,8
58,3475,4.00,42.00,120.00,49.00,2-6-0,0,8
59,4267,4.00,22.00,40.00,58.00,2-6-0,0,8
60,2187,2.00,120.00,120.00,83.00,1-7-0,0,8
61,1539,2.00,66.00,150.00,50.00,1-7-0,0,8
62,342,2.00,64.00,60.00,102.00,1-7-0,0,8
63,3976,2.00,40.00,60.00,55.00,1-7-0,0,8
64,4748,2.00,36.00,60.00,32.00,1-7-0,0,8
65,2483,0,100.00,70.00,48.00,0-8-0,0,8
