Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,1730,250.11,108,1020,240,149,704,9
2,2056,241.88,60,1012,280,205,612,9
3,118,241.88,100,1004,240,169,682,9
4,195,241.33,40,1000,200,224,638,9
5,1114,237.11,80,1016,120,198,674,9
6,1756,235.66,80,1056,240,119,650,9
7,1310,232.33,86,960,120,217,646,9
8,179,232.11,60,1032,160,187,634,9
9,2338,231.11,26,988,120,222,646,9
10,1218,230.0,60,988,120,176,650,9
11,624,227.44,146,852,240,181,570,9
12,2122,227.11,6,1088,80,226,644,9
13,4039,224.0,20,996,40,218,662,9
14,548,223.44,66,1000,120,207,608,9
15,2502,221.22,88,972,80,197,606,9
16,233,219.66,128,940,200,145,572,9
17,1741,219.55,80,1012,120,224,540,9
18,3641,219.0,40,900,160,213,634,9
19,2826,217.77,188,912,160,122,578,9
20,379,216.44,46,916,160,218,566,9
21,5254,214.55,100,880,200,163,600,9
22,330,214.11,40,1016,120,189,568,9
23,111,213.22,80,956,160,145,584,9
24,3824,213.22,40,928,160,213,584,9
25,5413,212.33,74,912,80,201,620,9
26,1619,211.66,60,880,120,211,584,9
27,503,211.11,26,1008,120,226,538,9
28,33,208.33,74,936,160,115,578,9
29,1640,207.88,100,920,80,181,582,9
30,68,207.88,20,1004,80,207,560,9
31,4143,205.88,68,832,240,177,536,9
32,16,204.88,66,884,120,222,504,9
33,1023,204.0,100,920,40,172,604,9
34,340,203.33,80,868,120,238,534,9
35,1806,203.33,40,888,80,118,614,9
36,234,200.44,126,808,80,262,508,9
37,225,200.33,28,860,160,131,582,9
38,4678,200.0,136,820,120,176,536,9
39,217,199.11,60,848,200,170,520,9
40,2590,198.44,68,812,240,154,472,9
41,245,197.0,60,792,160,167,596,9
42,384,197.0,40,916,80,181,574,9
43,67,196.88,72,836,160,182,522,9
44,2614,195.77,40,828,120,192,548,9
45,2337,194.0,134,776,200,168,484,9
46,1625,193.22,0,872,120,123,582,9
47,3130,192.66,26,848,120,212,510,9
48,829,192.33,60,832,160,135,556,9
49,2468,189.44,6,920,40,179,566,9
50,3015,185.33,0,812,160,162,480,9
51,469,185.22,54,816,80,185,526,9
52,48,184.33,60,852,40,193,532,9
53,1657,182.44,0,880,120,90,552,9
54,107,180.88,72,744,160,190,486,9
55,226,180.0,28,720,80,184,528,9
56,1024,177.33,60,756,160,138,468,9
57,1325,176.66,76,736,80,142,508,9
58,1720,174.11,60,752,120,177,458,9
59,20,173.66,26,732,200,193,418,9
60,2512,172.55,80,720,160,125,474,9
61,1711,168.66,60,656,160,146,442,9
62,5188,168.22,28,708,120,162,502,9
63,744,166.77,32,696,40,165,510,9
64,2867,165.66,20,756,120,127,468,9
65,316,161.88,80,716,40,171,462,9
66,27,155.88,20,660,80,221,414,9
67,1923,146.11,68,588,40,169,480,9
