Rank,Team,RP,ParkClimb,Auto,Ownership,Vault,WinLossTie,DQ,Played
1,254,3.4444444,645,375,2591,300,9-0-0,0,9
2,1323,3,560,350,2546,270,9-0-0,0,9
3,1678,2.6666667,670,324,2061,180,7-2-0,0,9
4,114,2.3333333,410,273,2233,225,7-2-0,0,9
5,6814,2.2222223,470,220,1873,265,7-2-0,0,9
6,6174,2.2222223,450,292,1869,250,6-3-0,0,9
7,1967,2.2222223,450,242,2212,270,7-2-0,0,9
8,299,2.1111112,535,230,1713,340,6-3-0,0,9
9,5419,2.1111112,515,215,1585,250,6-3-0,0,9
10,5026,2.1111112,465,217,2128,245,7-2-0,0,9
11,1425,2,580,223,1695,195,5-4-0,0,9
12,1671,2,465,297,1664,220,5-4-0,0,9
13,2073,2,460,284,1706,260,5-4-0,0,9
14,1662,2,275,232,1992,235,7-2-0,0,9
15,5458,1.8888888,495,229,1503,230,5-4-0,0,9
16,4698,1.8888888,305,242,1967,330,6-3-0,0,9
17,6918,1.7777778,410,249,1719,190,4-5-0,0,9
18,2813,1.6666666,340,234,1680,185,5-4-0,0,9
19,253,1.5555556,425,208,1480,245,5-4-0,0,9
20,5499,1.5555556,415,243,1360,290,4-5-0,0,9
21,3859,1.5555556,375,238,1614,180,4-5-0,0,9
22,5700,1.4444444,485,217,1460,170,4-5-0,0,9
23,2135,1.4444444,390,272,1617,210,3-6-0,0,9
24,5924,1.4444444,365,184,1438,230,5-4-0,0,9
25,3189,1.3333334,425,251,1215,270,3-6-0,0,9
26,701,1.3333334,375,230,1653,245,3-6-0,0,9
27,5274,1.3333334,360,243,1338,155,3-6-0,0,9
28,6662,1.3333334,315,206,1481,230,4-5-0,0,9
29,5496,1.2222222,470,181,1335,220,4-5-0,0,9
30,7229,1.2222222,460,186,1278,255,3-6-0,0,9
31,1280,1.2222222,420,152,1442,265,5-4-0,0,9
32,6039,1.2222222,350,167,1217,145,4-5-0,0,9
33,6474,1.1111112,440,222,1458,265,4-5-0,0,9
34,2551,1.1111112,405,192,1343,230,3-6-0,0,9
35,7137,1.1111112,245,199,1520,165,3-6-0,0,9
36,3598,1,380,215,1097,215,2-7-0,0,9
37,6981,1,375,184,1334,205,3-6-0,0,9
38,199,1,360,204,1661,280,4-5-0,0,9
39,5852,0.7777778,400,161,1238,245,3-6-0,0,9
40,4643,0.7777778,325,133,1253,210,3-6-0,0,9
41,5940,0.7777778,245,127,1319,170,3-6-0,0,9
42,4171,0.5555556,415,159,1009,195,1-8-0,0,9
43,2643,0.5555556,380,211,1103,300,1-8-0,0,9
44,4255,0.33333334,245,124,1002,185,1-8-0,0,9
