Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,1503,20.00,228.00,200.00,493.00,10-1-0,0,11
2,128,18.00,184.00,180.00,499.00,9-2-0,0,11
3,2614,18.00,162.00,190.00,309.00,9-2-0,0,11
4,2603,16.00,248.00,200.00,278.00,8-3-0,0,11
5,4027,16.00,140.00,200.00,168.00,8-3-0,0,11
6,4049,16.00,138.00,230.00,275.00,8-3-0,0,11
7,291,16.00,72.00,210.00,383.00,8-3-0,0,11
8,1708,14.00,228.00,130.00,333.00,7-4-0,0,11
9,2252,14.00,206.00,160.00,316.00,7-4-0,0,11
10,1629,14.00,188.00,200.00,417.00,7-4-0,0,11
11,156,14.00,142.00,200.00,252.00,7-4-0,0,11
12,4031,14.00,126.00,100.00,254.00,7-4-0,0,11
13,3492,14.00,100.00,180.00,264.00,7-4-0,0,11
14,4601,12.00,184.00,150.00,375.00,6-5-0,0,11
15,3260,12.00,184.00,140.00,233.00,6-5-0,0,11
16,1743,12.00,178.00,150.00,264.00,6-5-0,0,11
17,4150,12.00,168.00,160.00,180.00,6-5-0,0,11
18,3193,12.00,162.00,180.00,246.00,6-5-0,0,11
19,4615,12.00,126.00,140.00,218.00,6-5-0,0,11
20,4050,12.00,114.00,90.00,181.00,6-5-0,0,11
21,3962,12.00,112.00,220.00,232.00,6-5-0,0,11
22,4803,12.00,110.00,130.00,176.00,6-5-0,0,11
23,3567,10.00,196.00,130.00,262.00,5-6-0,0,11
24,306,10.00,182.00,130.00,163.00,5-6-0,0,11
25,3504,10.00,180.00,100.00,170.00,5-6-0,0,11
26,2641,10.00,148.00,160.00,193.00,5-6-0,0,11
27,449,10.00,130.00,160.00,257.00,5-6-0,0,11
28,3955,10.00,110.00,310.00,223.00,5-6-0,0,11
29,2051,10.00,86.00,140.00,184.00,5-6-0,0,11
30,2399,10.00,74.00,200.00,223.00,5-6-0,0,11
31,4484,8.00,158.00,180.00,191.00,4-7-0,0,11
32,3062,8.00,132.00,110.00,206.00,4-7-0,0,11
33,620,8.00,120.00,210.00,223.00,4-7-0,0,11
34,63,8.00,108.00,190.00,133.00,4-7-0,0,11
35,3954,8.00,96.00,160.00,193.00,4-7-0,0,11
36,337,8.00,92.00,200.00,143.00,4-7-0,0,11
37,3511,8.00,88.00,150.00,175.00,4-6-0,1,11
38,2656,8.00,88.00,90.00,176.00,4-7-0,0,11
39,3957,8.00,82.00,100.00,159.00,4-7-0,0,11
40,4547,6.00,128.00,70.00,192.00,3-8-0,0,11
41,4467,6.00,110.00,150.00,141.00,3-8-0,0,11
42,2544,6.00,90.00,100.00,197.00,3-8-0,0,11
43,117,4.00,104.00,50.00,104.00,2-7-0,2,11
44,4289,2.00,94.00,80.00,129.00,1-10-0,0,11
45,4032,2.00,80.00,90.00,120.00,1-10-0,0,11
