Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,987,36.00,159.00,90.00,301.00,14,11-0-0,0,11
2,1661,30.00,89.00,90.00,130.00,16,7-4-0,0,11
3,2485,28.00,161.00,40.00,110.00,10,9-2-0,0,11
4,3187,28.00,152.00,90.00,107.00,10,9-2-0,0,11
5,1828,28.00,132.00,70.00,156.00,10,9-2-0,0,11
6,4318,28.00,67.00,60.00,98.00,16,6-5-0,0,11
7,3245,26.00,116.00,80.00,107.00,12,7-4-0,0,11
8,1377,24.00,89.00,30.00,79.00,14,5-6-0,0,11
9,2375,24.00,84.00,60.00,51.00,8,8-3-0,0,11
10,3288,23.00,137.00,120.00,119.00,6,8-2-1,0,11
11,2496,23.00,88.00,40.00,94.00,12,5-5-1,0,11
12,2984,22.00,115.00,80.00,125.00,12,5-6-0,0,11
13,877,22.00,104.00,80.00,78.00,10,6-5-0,0,11
14,3243,21.00,91.00,50.00,77.00,10,5-5-1,0,11
15,4345,21.00,53.00,10.00,90.00,10,5-5-1,0,11
16,3009,20.00,141.00,70.00,108.00,6,7-4-0,0,11
17,1011,20.00,119.00,40.00,136.00,8,6-5-0,0,11
18,2658,20.00,46.00,40.00,46.00,10,5-6-0,0,11
19,988,20.00,45.00,40.00,93.00,8,6-5-0,0,11
20,3453,19.00,94.00,40.00,79.00,8,5-5-1,0,11
21,2520,19.00,78.00,30.00,79.00,8,5-5-1,0,11
22,4043,19.00,52.00,40.00,28.00,10,4-6-1,0,11
23,2034,18.00,111.00,60.00,146.00,6,5-4-2,0,11
24,1572,18.00,89.00,60.00,65.00,8,5-6-0,0,11
25,968,18.00,78.00,40.00,86.00,8,4-5-2,0,11
26,1703,17.00,76.00,30.00,78.00,8,4-6-1,0,11
27,4366,17.00,75.00,90.00,35.00,4,6-4-1,0,11
28,1631,16.00,134.00,20.00,81.00,4,6-5-0,0,11
29,60,16.00,121.00,50.00,91.00,6,5-6-0,0,11
30,2844,16.00,83.00,50.00,47.00,12,2-9-0,0,11
31,1348,16.00,77.00,70.00,42.00,10,3-8-0,0,11
32,2637,15.00,94.00,40.00,60.00,8,3-7-1,0,11
33,3486,15.00,89.00,50.00,98.00,4,5-5-1,0,11
34,3019,15.00,53.00,50.00,97.00,4,5-5-1,0,11
35,3716,15.00,52.00,50.00,75.00,10,2-8-1,0,11
36,4,15.00,52.00,20.00,31.00,8,3-7-1,0,11
37,4036,14.00,61.00,20.00,107.00,8,3-7-0,1,11
38,2543,13.00,124.00,20.00,104.00,2,5-5-1,0,11
39,3120,9.00,87.00,20.00,60.00,2,2-6-3,0,11
40,585,9.00,41.00,30.00,98.00,6,1-9-1,0,11
41,1780,8.00,123.00,50.00,36.00,0,4-7-0,0,11
42,991,7.00,108.00,20.00,79.00,2,2-8-1,0,11
