Rank,Team,RP,ParkClimb,Auto,Ownership,Vault,WinLossTie,DQ,Played
1,254,3.3333333,615,376,2326,165,9-0-0,0,9
2,1323,2.8888888,695,330,2340,245,7-2-0,0,9
3,971B,2.8888888,545,409,2605,200,8-1-0,0,9
4,971,2.8888888,495,361,2426,165,9-0-0,0,9
5,973,2.6666667,490,319,2204,190,8-1-0,0,9
6,6174,2.5555556,385,308,2301,225,7-2-0,0,9
7,1678,2.4444444,490,379,2295,180,6-3-0,0,9
8,4698,2,500,259,1844,310,5-4-0,0,9
9,1671,2,365,347,2168,230,6-3-0,0,9
10,7057,1.8888888,465,279,1622,175,5-4-0,0,9
11,2135B,1.8888888,400,324,1749,205,4-5-0,0,9
12,6657,1.8888888,350,294,1505,130,5-4-0,0,9
13,5104,1.7777778,500,227,1370,215,5-4-0,0,9
14,3482,1.7777778,380,268,1662,130,4-5-0,0,9
15,1072,1.7777778,300,255,1717,160,5-4-0,0,9
16,1072B,1.7777778,295,288,1878,165,6-3-0,0,9
17,5852B,1.6666666,485,224,1519,130,5-4-0,0,9
18,973C,1.6666666,395,192,1471,175,5-4-0,0,9
19,1678B,1.6666666,360,264,1956,220,5-4-0,0,9
20,2073,1.5555556,520,302,1745,205,3-6-0,0,9
21,3495,1.5555556,345,236,1815,180,5-4-0,0,9
22,299,1.5555556,340,241,1682,315,5-4-0,0,9
23,1323B,1.5555556,335,261,1794,260,4-5-0,0,9
24,6305,1.5555556,320,231,1630,210,4-5-0,0,9
25,5940,1.4444444,380,256,1996,230,3-6-0,0,9
26,4255,1.4444444,375,308,1489,190,4-5-0,0,9
27,4171,1.4444444,355,257,1676,235,4-5-0,0,9
28,6926,1.4444444,320,264,1623,185,4-5-0,0,9
29,5817,1.3333334,410,269,1755,160,4-5-0,0,9
30,5817B,1.3333334,395,272,1463,135,2-7-0,0,9
31,7663,1.3333334,335,301,1840,140,4-5-0,0,9
32,973B,1.2222222,400,268,1752,205,3-6-0,0,9
33,254B,1.2222222,350,307,1677,225,3-6-0,0,9
34,971C,1.2222222,285,173,1630,165,5-4-0,0,9
35,2135,1.1111112,410,219,1651,235,3-6-0,0,9
36,5852,1.1111112,380,198,1462,175,3-6-0,0,9
37,1678C,1.1111112,330,267,1430,240,3-6-0,0,9
38,3303,1.1111112,250,218,1624,115,3-6-0,0,9
39,6657B,1,365,242,1616,175,2-7-0,0,9
40,3495B,0.8888889,375,169,1542,185,3-6-0,0,9
41,254C,0.7777778,360,240,1167,165,1-8-0,0,9
42,6926B,0.7777778,285,280,1371,140,2-7-0,0,9
43,3482B,0.7777778,260,162,1214,115,3-6-0,0,9
