Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,60,7,1,0,8,14.00,28.50,56
2,2134,7,1,0,8,14.00,27.50,44
3,1164,7,1,0,8,14.00,26.25,48
4,207,7,1,0,8,14.00,25.50,56
5,39,7,1,0,8,14.00,25.00,82
6,2365,6,2,0,8,12.00,23.25,54
7,2406,6,2,0,8,12.00,22.25,54
8,1212,5,2,1,8,11.00,23.00,64
9,2478,5,2,1,8,11.00,16.25,58
10,2647,5,3,0,8,10.00,26.50,42
11,1633,5,3,0,8,10.00,24.25,42
12,1726,5,3,0,8,10.00,21.00,48
13,842,5,3,0,8,10.00,19.25,58
14,996,5,3,0,8,10.00,15.25,48
15,2449,4,3,1,8,9.00,24.25,54
16,2486,4,3,1,8,9.00,21.50,44
17,1828,4,3,1,8,9.00,20.50,60
18,2579,4,3,1,8,9.00,19.75,64
19,1798,4,3,1,8,9.00,17.25,52
20,815,4,3,1,8,9.00,13.75,56
21,1011,4,3,1,8,9.00,12.50,82
22,2662,4,4,0,8,8.00,24.25,56
23,1492,4,4,0,8,8.00,23.50,46
24,1165,4,4,0,8,8.00,21.75,82
25,2592,4,4,0,8,8.00,21.25,52
26,2403,4,4,0,8,8.00,21.00,38
27,2414,4,4,0,8,8.00,20.50,56
28,498,4,4,0,8,8.00,20.50,46
29,2375,4,4,0,8,8.00,20.50,40
30,1456,4,4,0,8,8.00,18.25,46
31,2570,4,4,0,8,8.00,18.25,42
32,698,4,4,0,8,8.00,16.25,34
33,57,4,4,0,8,8.00,15.50,48
34,2397,4,4,0,8,8.00,14.50,54
35,2657,3,4,1,8,7.00,15.50,54
36,1926,3,3,1,7,7.00,14.25,44
37,2413,3,4,1,8,7.00,13.50,24
38,624,3,5,0,8,6.00,22.00,60
39,1515,2,4,2,8,6.00,11.50,48
40,991,2,5,1,8,5.00,22.25,44
41,2128,2,6,0,8,4.00,17.00,32
42,125,2,6,0,8,4.00,15.75,48
43,2380,2,6,0,8,4.00,15.50,64
44,1324,2,6,0,8,4.00,14.50,60
45,1852,2,6,0,8,4.00,14.00,38
46,1290,2,6,0,8,4.00,12.50,38
47,2196,2,6,0,8,4.00,10.75,28
48,1643,2,6,0,8,4.00,9.00,42
49,2226,1,6,1,8,3.00,18.75,30
50,1897,1,6,1,8,3.00,14.75,32
51,1013,1,6,1,8,3.00,12.75,36
52,687,1,7,0,8,2.00,13.00,46
