1993cmp_1,Championship Winner,frc148,
1993cmp_17,Quality,frc126,
1993cmp_30,Team Spirit Award,frc191,
1993cmp_39,#1 Seed,frc151,
1993cmp_46,Most Photogenic Award,frc20,
