Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,1726,9,0,0,9,18.00,43.55,112
2,69,8,1,0,9,16.00,42.11,96
3,39,8,1,0,9,16.00,37.00,78
4,2102,7,1,1,9,15.00,38.00,74
5,2840,7,2,0,9,14.00,41.88,72
6,2839,7,2,0,9,14.00,34.77,96
7,2570,6,2,0,8,12.00,40.11,78
8,3014,6,3,0,9,12.00,38.22,108
9,698,6,3,0,9,12.00,34.44,68
10,812,6,3,0,9,12.00,31.33,85
11,2478,5,3,1,9,11.00,39.77,68
12,1013,5,4,0,9,10.00,44.55,90
13,1828,5,4,0,9,10.00,43.22,82
14,842,5,4,0,9,10.00,41.88,82
15,1633,5,4,0,9,10.00,40.11,108
16,996,5,4,0,9,10.00,39.44,76
17,2844,5,4,0,9,10.00,39.00,94
18,60,5,4,0,9,10.00,37.44,90
19,498,5,4,0,9,10.00,36.00,76
20,2403,5,4,0,9,10.00,35.88,66
21,1165,5,4,0,9,10.00,35.66,112
22,2413,5,4,0,9,10.00,33.66,90
23,2837,4,4,1,9,9.00,42.00,68
24,3019,4,5,0,9,8.00,39.55,71
25,1212,4,5,0,9,8.00,37.00,86
26,1492,4,5,0,9,8.00,35.44,81
27,2414,4,5,0,9,8.00,34.77,112
28,2134,4,5,0,9,8.00,30.00,68
29,2375,4,4,0,8,8.00,29.77,86
30,1164,3,5,1,9,7.00,30.44,72
31,991,3,5,1,9,7.00,29.00,94
32,3048,3,6,0,9,6.00,40.22,96
33,1290,3,6,0,9,6.00,34.66,72
34,2128,3,6,0,9,6.00,30.44,60
35,1798,3,6,0,9,6.00,28.77,108
36,2657,3,6,0,9,6.00,28.22,94
37,2486,2,6,1,9,5.00,32.77,66
38,2647,2,7,0,9,4.00,41.11,71
39,2662,2,7,0,9,4.00,35.77,75
40,1324,2,7,0,9,4.00,34.88,74
41,2449,2,7,0,9,4.00,30.66,82
42,2196,1,7,0,8,2.00,33.44,69
43,1852,1,8,0,9,2.00,32.33,60
44,2406,1,7,0,8,2.00,29.22,76
