2018orwil_f1m1,frc2471,frc1425,frc1359,frc2990,frc957,frc3024,430,201
2018orwil_f1m2,frc2471,frc1425,frc1359,frc2990,frc957,frc3024,297,269
2018orwil_qf1m1,frc2471,frc1425,frc1359,frc753,frc4127,frc6696,370,175
2018orwil_qf1m2,frc2471,frc1425,frc1359,frc753,frc4127,frc6696,395,264
2018orwil_qf2m1,frc847,frc7034,frc4309,frc2521,frc1540,frc6845,211,418
2018orwil_qf2m2,frc847,frc7034,frc4309,frc2521,frc1540,frc6845,178,365
2018orwil_qf3m1,frc2990,frc957,frc3024,frc5085,frc4488,frc6343,352,230
2018orwil_qf3m2,frc2990,frc957,frc3024,frc5085,frc4488,frc6343,260,269
2018orwil_qf3m3,frc2990,frc957,frc3024,frc5085,frc4488,frc6343,398,208
2018orwil_qf4m1,frc2635,frc2374,frc5295,frc6445,frc997,frc6443,358,146
2018orwil_qf4m2,frc2635,frc2374,frc5295,frc6445,frc997,frc6443,244,260
2018orwil_qf4m3,frc2635,frc2374,frc5295,frc6445,frc997,frc6443,281,178
2018orwil_qm1,frc5748,frc2374,frc6445,frc5977,frc4057,frc1359,187,273
2018orwil_qm10,frc957,frc6445,frc4488,frc5295,frc753,frc1425,312,278
2018orwil_qm11,frc4051,frc4043,frc1540,frc997,frc5198,frc6696,172,352
2018orwil_qm12,frc3024,frc6442,frc5977,frc3673,frc5085,frc2471,41,241
2018orwil_qm13,frc2990,frc955,frc4132,frc4057,frc7034,frc4110,290,55
2018orwil_qm14,frc2635,frc4127,frc6343,frc3636,frc6445,frc4051,379,47
2018orwil_qm15,frc1359,frc6696,frc568,frc847,frc5085,frc6845,183,344
2018orwil_qm16,frc4110,frc5198,frc3024,frc6443,frc957,frc1425,30,447
2018orwil_qm17,frc753,frc1540,frc2374,frc5295,frc3673,frc6442,335,205
2018orwil_qm18,frc4488,frc997,frc2471,frc2521,frc5748,frc4309,356,149
2018orwil_qm19,frc5977,frc2990,frc5085,frc4043,frc6845,frc6343,378,190
2018orwil_qm2,frc957,frc4309,frc955,frc5085,frc1540,frc2635,396,241
2018orwil_qm20,frc4127,frc4110,frc1540,frc2635,frc2374,frc4132,240,258
2018orwil_qm21,frc3024,frc568,frc2471,frc4051,frc997,frc1425,273,273
2018orwil_qm22,frc1359,frc5295,frc5198,frc4309,frc753,frc6696,189,302
2018orwil_qm23,frc4043,frc6442,frc4057,frc4488,frc6443,frc2990,172,392
2018orwil_qm24,frc2521,frc957,frc3636,frc7034,frc5977,frc6445,172,336
2018orwil_qm25,frc847,frc5748,frc568,frc5198,frc955,frc3673,274,179
2018orwil_qm26,frc4132,frc997,frc5295,frc2471,frc4043,frc2635,118,327
2018orwil_qm27,frc1425,frc4488,frc5085,frc1359,frc753,frc4127,377,144
2018orwil_qm28,frc5977,frc3673,frc5748,frc2990,frc2374,frc3636,200,378
2018orwil_qm29,frc6696,frc957,frc4110,frc4057,frc847,frc2521,277,236
2018orwil_qm3,frc4488,frc6343,frc847,frc6443,frc3636,frc6442,194,176
2018orwil_qm30,frc1540,frc955,frc6443,frc6845,frc6445,frc3024,381,198
2018orwil_qm31,frc4309,frc4051,frc6442,frc6343,frc7034,frc4132,195,208
2018orwil_qm32,frc5295,frc4057,frc2990,frc997,frc5085,frc957,293,366
2018orwil_qm33,frc2521,frc1425,frc4043,frc1540,frc3636,frc6845,336,184
2018orwil_qm34,frc4051,frc6343,frc5748,frc3024,frc4127,frc6443,208,318
2018orwil_qm35,frc6696,frc2635,frc7034,frc3673,frc2374,frc4488,269,181
2018orwil_qm36,frc4309,frc1359,frc847,frc4110,frc5977,frc753,275,155
2018orwil_qm37,frc568,frc6445,frc955,frc6442,frc2471,frc5198,157,360
2018orwil_qm38,frc5748,frc6443,frc4043,frc4488,frc2521,frc5295,91,380
