Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),DQ,Played
1,1983,21,110,135,119,380,6-2-0,0,8
2,3238,18,190,90,106,390,6-2-0,0,8
3,5803,18,184,140,111,425,6-2-0,0,8
4,3574,17,204,95,114,420,5-3-0,0,8
5,2046,17,154,100,146,370,6-2-0,0,8
6,2412,16,162,120,126,360,7-1-0,0,8
7,1318,15,162,50,173,345,6-2-0,0,8
8,2910,14,196,155,97,365,6-2-0,0,8
9,4915,14,182,105,117,380,4-3-1,0,8
10,2907,14,160,85,87,395,4-4-0,0,8
11,1899,13,152,65,69,370,4-4-0,0,8
12,2557,13,150,75,126,325,5-3-0,0,8
13,2928,13,138,45,84,375,5-3-0,0,8
14,3219,13,128,65,121,380,4-4-0,0,8
15,2980,13,104,95,95,375,3-4-1,0,8
16,4077,12,194,90,82,375,4-3-1,0,8
17,4060,12,160,105,76,355,4-4-0,0,8
18,4131,11,172,70,71,390,3-5-0,0,8
19,4173,11,158,100,66,385,3-5-0,0,8
20,3663,11,140,95,134,370,2-5-1,0,8
21,948,11,138,70,103,345,4-4-0,0,8
22,2522,10,178,80,107,385,3-5-0,0,8
23,4450,10,164,75,140,310,4-4-0,0,8
24,492,10,160,90,108,365,2-5-1,0,8
25,2976,10,152,60,97,350,3-5-0,0,8
26,4089,10,106,90,99,260,4-3-1,0,8
27,360,7,138,85,107,305,3-5-0,0,8
28,4461,7,116,65,80,330,2-6-0,0,8
29,3223,6,150,75,61,330,2-6-0,0,8
30,2930,4,158,95,81,340,1-7-0,0,8
31,3588,1,166,70,56,300,0-8-0,0,8
