Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,1501,33.0,363.0,210.0,439.0,560.0,9-1-0,10
2,4003,31.0,344.0,145.0,464.0,555.0,9-1-0,10
3,3166,31.0,309.0,145.0,345.0,570.0,8-2-0,10
4,2064,29.0,354.0,195.0,352.0,550.0,7-3-0,10
5,1747,28.0,347.0,185.0,373.0,575.0,7-3-0,10
6,4103,28.0,324.0,190.0,356.0,595.0,7-2-1,10
7,45,28.0,301.0,185.0,374.0,565.0,7-3-0,10
8,4564,28.0,293.0,155.0,424.0,540.0,7-2-1,10
9,3534,28.0,287.0,210.0,331.0,555.0,7-3-0,10
10,1257,28.0,276.0,175.0,294.0,570.0,6-3-1,10
11,1310,27.0,322.0,190.0,337.0,555.0,7-3-0,10
12,3932,27.0,317.0,145.0,286.0,565.0,7-3-0,10
13,6035,27.0,296.0,170.0,297.0,565.0,7-3-0,10
14,999,26.0,318.0,170.0,337.0,530.0,6-4-0,10
15,2586,26.0,312.0,150.0,269.0,550.0,7-3-0,10
16,1986,26.0,308.0,150.0,396.0,535.0,7-3-0,10
17,5878,26.0,302.0,175.0,323.0,580.0,5-5-0,10
18,4911,26.0,298.0,145.0,289.0,590.0,5-5-0,10
19,1391,25.0,312.0,175.0,297.0,570.0,7-3-0,10
20,1768,25.0,301.0,230.0,360.0,550.0,6-4-0,10
21,2637,25.0,296.0,190.0,328.0,615.0,7-3-0,10
22,4931,25.0,285.0,135.0,254.0,545.0,6-4-0,10
23,3211,24.0,354.0,125.0,339.0,565.0,6-4-0,10
24,180,24.0,326.0,145.0,375.0,545.0,6-4-0,10
25,4519,24.0,302.0,155.0,318.0,550.0,6-4-0,10
26,5858,24.0,268.0,110.0,251.0,555.0,6-3-1,10
27,5050,24.0,264.0,170.0,314.0,530.0,6-4-0,10
28,1318,24.0,256.0,155.0,367.0,525.0,5-5-0,10
29,4183,23.0,319.0,160.0,300.0,590.0,5-5-0,10
30,4039,23.0,308.0,165.0,356.0,530.0,3-5-2,10
31,5624,23.0,304.0,115.0,289.0,560.0,5-5-0,10
32,3847,23.0,280.0,165.0,333.0,535.0,5-5-0,10
33,1540,23.0,278.0,140.0,397.0,545.0,6-4-0,10
34,5842,22.0,317.0,180.0,260.0,560.0,5-5-0,10
35,2338,22.0,290.0,115.0,380.0,530.0,6-4-0,10
36,1923,22.0,288.0,150.0,271.0,570.0,5-5-0,10
37,3102,22.0,280.0,145.0,281.0,540.0,5-5-0,10
38,236,22.0,273.0,195.0,225.0,530.0,4-6-0,10
39,1671,21.0,299.0,175.0,302.0,555.0,4-6-0,10
40,4508,21.0,276.0,160.0,256.0,545.0,5-5-0,10
41,1325,21.0,267.0,135.0,284.0,550.0,4-6-0,10
42,839,21.0,262.0,160.0,236.0,545.0,3-7-0,10
43,3135,21.0,228.0,130.0,234.0,520.0,4-6-0,10
44,207,20.0,302.0,210.0,361.0,525.0,6-4-0,10
45,4828,20.0,295.0,150.0,170.0,540.0,5-5-0,10
46,5024,20.0,289.0,125.0,236.0,540.0,5-5-0,10
47,3602,20.0,283.0,185.0,293.0,540.0,2-7-1,10
48,4125,20.0,266.0,170.0,214.0,560.0,4-6-0,10
49,401,20.0,266.0,120.0,298.0,505.0,5-4-0,10
50,5401,19.0,321.0,165.0,308.0,565.0,3-7-0,10
51,107,19.0,302.0,155.0,343.0,510.0,6-4-0,10
52,1629,19.0,294.0,115.0,272.0,545.0,4-6-0,10
53,3098,19.0,291.0,160.0,362.0,550.0,4-6-0,10
54,4534,19.0,289.0,170.0,313.0,510.0,3-6-1,10
55,6075,19.0,279.0,160.0,181.0,575.0,3-7-0,10
56,6032,19.0,259.0,130.0,225.0,540.0,4-5-1,10
57,2881,19.0,246.0,175.0,217.0,495.0,5-4-0,10
58,4761,18.0,294.0,135.0,249.0,535.0,5-5-0,10
59,5926,18.0,275.0,190.0,242.0,595.0,3-7-0,10
60,5410,18.0,258.0,130.0,243.0,520.0,4-6-0,10
61,1208,18.0,254.0,190.0,256.0,525.0,4-6-0,10
62,5987,17.0,284.0,125.0,223.0,525.0,4-6-0,10
63,3389,17.0,278.0,135.0,195.0,520.0,4-6-0,10
64,3527,17.0,271.0,120.0,194.0,540.0,4-6-0,10
65,4590,17.0,260.0,140.0,200.0,535.0,3-7-0,10
66,5876,17.0,260.0,110.0,189.0,560.0,4-6-0,10
67,1973,17.0,251.0,170.0,219.0,535.0,2-8-0,10
68,3630,16.0,306.0,145.0,199.0,560.0,2-7-1,10
69,6082,15.0,304.0,100.0,243.0,550.0,2-8-0,10
70,980,15.0,274.0,150.0,205.0,525.0,3-7-0,10
71,3533,14.0,285.0,150.0,268.0,530.0,2-7-1,10
72,498,13.0,284.0,115.0,325.0,505.0,2-7-1,10
73,5422,13.0,273.0,135.0,212.0,540.0,2-8-0,10
74,5404,12.0,319.0,140.0,284.0,555.0,1-9-0,10
75,5417,12.0,262.0,140.0,200.0,515.0,2-8-0,10
