Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,3015,3.6,420,194,1407,165,5-0-0,0,5
2,4476,3,290,167,1327,155,5-0-0,0,5
3,5406,3,285,171,1328,140,5-0-0,0,5
4,5254,2.8,345,183,1265,150,4-1-0,0,5
5,2791,2.8,320,187,1212,95,5-0-0,0,5
6,291,2.6,285,220,1338,160,4-1-0,0,5
7,3157,2.2,290,136,1199,135,4-1-0,0,5
8,1405,2.2,285,151,1271,150,4-1-0,0,5
9,5254B,2.2,250,139,971,110,3-2-0,0,5
10,191,2.2,235,167,1132,100,4-1-0,0,5
11,1585,2,350,124,875,115,3-2-0,0,5
12,5406B,2,240,191,1161,135,3-2-0,0,5
13,4930,2,225,169,1155,105,3-2-0,0,5
14,340,2,210,192,1116,140,3-2-0,0,5
15,3799,1.8,345,106,1108,130,3-2-0,0,5
16,3181,1.8,220,113,726,75,3-2-0,0,5
17,2656,1.8,210,149,904,105,3-2-0,0,5
18,6868,1.6,295,121,769,130,2-3-0,0,5
19,3838,1.6,205,179,1105,70,3-2-0,0,5
20,1126,1.6,170,186,996,95,2-3-0,0,5
21,222,1.4,265,179,888,160,2-3-0,0,5
22,3173,1.4,265,106,1018,190,2-3-0,0,5
23,3504,1.4,215,127,974,150,2-3-0,0,5
24,1518,1.4,215,117,1087,140,3-2-0,0,5
25,6870,1.4,205,133,758,105,2-3-0,0,5
26,4039,1.4,170,133,883,145,2-3-0,0,5
27,1507,1.2,290,140,966,150,2-3-0,0,5
28,6300,1.2,275,132,899,140,2-3-0,0,5
29,3003,1.2,235,157,1029,120,3-2-0,0,5
30,578,1.2,200,146,1104,115,2-3-0,0,5
31,4093,1,235,118,942,110,2-3-0,0,5
32,1511,1,205,193,917,140,1-4-0,0,5
33,4023,1,160,134,919,30,2-3-0,0,5
34,6300B,1,145,108,659,50,2-3-0,0,5
35,3951,1,125,104,832,65,2-3-0,0,5
36,639,0.8,270,121,665,110,1-4-0,0,5
37,1551,0.8,235,96,669,120,1-4-0,0,5
38,2340,0.8,225,126,847,130,1-4-0,0,5
39,1360,0.8,210,134,850,175,1-4-0,0,5
40,2228,0.8,195,125,749,60,1-4-0,0,5
41,9639,0.8,195,109,796,75,2-3-0,0,5
42,378,0.6,260,100,859,155,1-4-0,0,5
43,1559,0.2,245,107,628,145,0-5-0,0,5
44,7659,0,185,119,673,125,0-5-0,0,5
