Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,2481,182.8,168,732,220,204,510,10
2,3132,168.0,128,660,200,218,486,10
3,2137,167.5,20,712,240,251,458,10
4,624,167.1,144,664,240,195,440,10
5,2170,165.9,46,692,240,207,486,10
6,2122,165.3,20,680,240,215,498,10
7,2959,163.7,20,644,320,227,438,10
8,1806,155.1,60,664,160,201,478,10
9,3360,153.5,160,560,280,213,322,10
10,340,150.9,20,676,160,211,448,10
11,3824,150.7,20,656,120,207,504,10
12,319,149.2,166,504,320,170,338,10
13,2054,146.5,168,564,160,199,392,10
14,48,146.4,40,608,200,182,440,10
15,3476,145.2,0,608,120,208,528,10
16,2059,144.8,34,452,320,294,354,10
17,3656,144.5,4,560,280,219,394,10
18,1523,138.6,60,528,280,130,394,10
19,58,137.8,24,560,200,178,434,10
20,2587,136.8,20,532,280,168,374,10
21,2415,136.8,30,552,160,222,416,10
22,706,136.2,4,480,300,194,390,10
23,4256,135.9,40,532,200,163,430,10
24,171,135.7,28,560,200,185,402,10
25,3250,133.7,28,504,280,195,336,10
26,2635,132.6,40,440,280,162,416,10
27,2883,132.6,80,480,240,192,352,10
28,4003,130.4,144,380,280,152,354,10
29,2062,129.7,32,552,180,149,390,10
30,4050,129.5,28,516,160,177,414,10
31,3847,129.2,88,516,200,108,386,10
32,226,127.3,40,516,180,189,348,10
33,1658,127.0,0,520,200,170,380,10
34,1502,126.7,20,460,240,227,326,10
35,2930,126.7,48,516,200,175,334,10
36,2960,125.9,28,528,160,181,374,10
37,1836,125.7,20,444,260,189,350,10
38,1255,125.3,38,332,340,225,330,10
39,5730,124.9,12,464,240,247,286,10
40,3941,123.2,20,452,240,224,302,10
41,292,122.3,30,412,320,207,260,10
42,612,122.0,54,392,320,176,290,10
43,2875,121.6,20,408,280,182,344,10
44,244,121.2,88,432,240,158,300,10
45,1025,119.1,34,456,160,157,390,10
46,2486,119.0,16,392,280,168,334,10
47,2613,118.3,60,456,180,169,336,10
48,1403,117.2,0,512,80,186,400,10
49,4571,116.6,40,404,260,110,352,10
50,141,114.0,12,360,360,136,272,10
51,1515,113.4,68,404,240,166,280,10
52,1647,113.4,58,372,240,232,238,10
53,5627,112.8,26,424,200,166,324,10
54,2191,111.1,20,408,240,159,296,10
55,5314,111.0,46,340,240,148,336,10
56,4481,110.4,20,364,200,90,442,10
57,5415,110.2,20,368,240,184,314,10
58,5072,109.0,36,320,280,156,310,10
59,5678,108.4,0,384,160,216,342,10
60,5528,106.7,20,420,160,145,328,10
61,358,106.6,24,380,160,150,364,10
62,5006,105.4,34,384,180,166,290,10
63,1225,104.9,48,408,120,155,324,10
64,2950,104.4,0,372,200,150,322,10
65,2399,103.4,4,372,200,188,276,10
66,5422,102.9,40,388,160,163,278,10
67,1311,102.8,40,368,200,144,282,10
68,5712,97.4,50,280,240,130,286,10
69,668,97.2,0,356,140,150,326,10
70,3184,95.9,20,324,180,185,250,10
71,2992,94.6,20,344,200,114,274,10
72,2526,92.6,0,316,120,194,302,10
73,2658,90.1,20,376,100,135,270,10
74,1610,90.0,60,232,240,172,214,10
75,5582,89.3,6,312,200,145,236,10
76,1323,87.3,20,348,120,115,282,10
