Rank,Team,RP,ParkClimb,Auto,Ownership,Vault,WinLossTie,DQ,Played
1,1538,3,270,154,1033,70,4-0-0,0,4
2,3647,3,240,113,1079,95,4-0-0,0,4
3,3255,2.25,220,111,1053,105,4-0-0,0,4
4,5199,2.25,170,139,1011,70,3-1-0,0,4
5,6926,2.25,160,113,897,40,3-1-0,0,4
6,5877,2,220,72,765,95,3-1-0,0,4
7,3255B,2,160,106,823,55,3-1-0,0,4
8,5514,2,115,84,774,55,3-1-0,0,4
9,4738,1.75,205,80,787,95,3-1-0,0,4
10,5477,1.75,190,122,797,70,2-2-0,0,4
11,4014,1.75,160,123,747,55,2-2-0,0,4
12,1266,1.75,120,89,910,70,3-1-0,0,4
13,5137,1.5,220,101,796,60,2-2-0,0,4
14,4486,1.5,220,60,795,70,2-2-0,0,4
15,7517,1.5,165,93,733,50,2-2-0,0,4
16,2102,1.5,145,106,900,50,2-2-0,0,4
17,1622,1.5,105,101,725,75,2-2-0,0,4
18,3925,1.25,195,70,740,125,2-2-0,0,4
19,1572,1.25,160,84,770,55,2-2-0,0,4
20,2658,1,220,65,703,95,2-2-0,0,4
21,5012,1,195,106,608,65,1-3-0,0,4
22,3647B,1,195,81,666,65,2-2-0,0,4
23,2102B,1,165,104,664,80,1-3-0,0,4
24,4,1,160,61,604,85,2-2-0,0,4
25,2543,1,155,67,738,65,2-2-0,0,4
26,6885,1,120,60,600,65,2-2-0,0,4
27,5025,1,100,54,663,40,2-2-0,0,4
28,3128,0.75,210,108,720,85,1-3-0,0,4
29,6926B,0.75,160,93,590,100,1-3-0,0,4
30,5474,0.75,140,67,661,40,1-3-0,0,4
31,4160,0.75,105,56,661,30,1-3-0,0,4
32,3965,0.5,145,52,533,55,1-3-0,0,4
33,4486B,0.5,125,54,588,50,1-3-0,0,4
34,5199B,0.5,100,37,643,80,1-3-0,0,4
35,980,0.25,195,70,492,60,0-4-0,0,4
36,2984,0.25,190,79,458,55,0-4-0,0,4
