Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,1986,18.00,346.00,330.00,426.00,9-0-0,0,9
2,2165,16.00,262.00,170.00,374.00,8-1-0,0,9
3,3350,16.00,240.00,140.00,348.00,8-1-0,0,9
4,2848,16.00,164.00,150.00,355.00,8-1-0,0,9
5,2354,16.00,144.00,340.00,231.00,8-1-0,0,9
6,2461,16.00,142.00,190.00,282.00,8-1-0,0,9
7,1806,14.00,262.00,260.00,501.00,7-2-0,0,9
8,3593,14.00,208.00,100.00,260.00,7-2-0,0,9
9,4523,14.00,154.00,210.00,240.00,7-2-0,0,9
10,2359,14.00,120.00,280.00,249.00,7-2-0,0,9
11,1742,12.00,232.00,220.00,269.00,6-3-0,0,9
12,3160,12.00,226.00,290.00,138.00,6-3-0,0,9
13,1775,12.00,198.00,170.00,326.00,6-3-0,0,9
14,476,12.00,184.00,200.00,265.00,6-3-0,0,9
15,3660,12.00,182.00,140.00,175.00,6-3-0,0,9
16,2395,12.00,172.00,100.00,287.00,6-3-0,0,9
17,935,12.00,166.00,170.00,377.00,6-3-0,0,9
18,3507,12.00,134.00,170.00,232.00,6-3-0,0,9
19,1510,12.00,116.00,150.00,210.00,6-3-0,0,9
20,1540,10.00,250.00,60.00,290.00,5-3-0,1,9
21,2004,10.00,194.00,200.00,250.00,5-3-0,1,9
22,2341,10.00,194.00,120.00,322.00,5-4-0,0,9
23,2369,10.00,140.00,210.00,202.00,5-4-0,0,9
24,2765,10.00,128.00,130.00,230.00,5-4-0,0,9
25,2388,10.00,54.00,90.00,259.00,5-4-0,0,9
26,2352,8.00,190.00,170.00,302.00,4-5-0,0,9
27,932,8.00,178.00,190.00,226.00,4-5-0,0,9
28,3457,8.00,150.00,160.00,238.00,4-5-0,0,9
29,2435,8.00,130.00,160.00,265.00,4-5-0,0,9
30,441,8.00,130.00,110.00,178.00,4-5-0,0,9
31,2398,8.00,128.00,200.00,185.00,4-5-0,0,9
32,3498,8.00,120.00,130.00,216.00,4-5-0,0,9
33,3465,8.00,116.00,180.00,252.00,4-4-0,1,9
34,4612,8.00,116.00,130.00,243.00,4-5-0,0,9
35,2986,8.00,100.00,120.00,165.00,4-5-0,0,9
36,938,8.00,84.00,150.00,120.00,4-5-0,0,9
37,4487,6.00,174.00,100.00,216.00,3-6-0,0,9
38,2373,6.00,166.00,110.00,196.00,3-6-0,0,9
39,2773,6.00,126.00,150.00,270.00,3-6-0,0,9
40,1750,6.00,124.00,160.00,136.00,3-6-0,0,9
41,31,6.00,112.00,80.00,158.00,3-6-0,0,9
42,3931,6.00,106.00,180.00,219.00,3-6-0,0,9
43,3163,6.00,102.00,130.00,175.00,3-6-0,0,9
44,4005,6.00,98.00,130.00,131.00,3-6-0,0,9
45,3247,6.00,96.00,70.00,213.00,3-6-0,0,9
46,3798,6.00,94.00,120.00,141.00,3-6-0,0,9
47,3179,6.00,94.00,30.00,161.00,3-6-0,0,9
48,1448,6.00,88.00,320.00,89.00,3-6-0,0,9
49,2795,6.00,82.00,50.00,173.00,3-5-0,1,9
50,1209,6.00,70.00,310.00,86.00,3-6-0,0,9
51,2389,4.00,148.00,140.00,136.00,2-7-0,0,9
52,3764,4.00,108.00,60.00,158.00,2-7-0,0,9
53,2382,4.00,102.00,110.00,98.00,2-7-0,0,9
54,3152,4.00,98.00,90.00,187.00,2-7-0,0,9
55,2424,4.00,90.00,130.00,182.00,2-7-0,0,9
56,1561,2.00,116.00,80.00,167.00,1-8-0,0,9
57,4349,2.00,78.00,80.00,67.00,1-6-0,2,9
58,3169,2.00,78.00,50.00,186.00,1-7-0,1,9
