Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,16,22.00,430.00,311.00,290.00,619.00,11-1-0,0,12
2,1985,20.00,300.00,465.00,230.00,322.00,10-2-0,0,12
3,4522,18.00,400.00,326.00,250.00,553.00,9-3-0,0,12
4,5153,18.00,130.00,352.00,110.00,277.00,9-3-0,0,12
5,4532,16.00,290.00,291.00,220.00,376.00,8-4-0,0,12
6,1810,16.00,220.00,402.00,220.00,435.00,8-4-0,0,12
7,4092,16.00,170.00,310.00,200.00,478.00,8-4-0,0,12
8,2388,16.00,160.00,226.00,160.00,512.00,8-4-0,0,12
9,2992,14.00,290.00,326.00,130.00,547.00,7-5-0,0,12
10,3937,14.00,210.00,401.00,210.00,432.00,7-5-0,0,12
11,1706,14.00,210.00,381.00,140.00,391.00,7-5-0,0,12
12,3593,14.00,180.00,392.00,200.00,530.00,7-5-0,0,12
13,45,14.00,150.00,327.00,170.00,363.00,7-5-0,0,12
14,3666,14.00,110.00,383.00,140.00,329.00,7-5-0,0,12
15,3516,14.00,110.00,240.00,110.00,442.00,7-5-0,0,12
16,832,12.00,190.00,221.00,190.00,540.00,6-6-0,0,12
17,4849,12.00,170.00,320.00,160.00,252.00,6-6-0,0,12
18,2333,12.00,150.00,302.00,140.00,320.00,6-6-0,0,12
19,3160,12.00,150.00,245.00,210.00,614.00,6-6-0,0,12
20,3783,12.00,110.00,246.00,110.00,459.00,6-6-0,0,12
21,4490,12.00,100.00,224.00,150.00,603.00,6-6-0,0,12
22,1939,10.00,260.00,311.00,110.00,287.00,5-7-0,0,12
23,4500,10.00,240.00,223.00,90.00,371.00,5-7-0,0,12
24,2352,10.00,180.00,291.00,80.00,196.00,5-7-0,0,12
25,5178,10.00,170.00,271.00,140.00,322.00,5-7-0,0,12
26,418,10.00,160.00,452.00,220.00,257.00,5-7-0,0,12
27,4535,10.00,150.00,249.00,80.00,513.00,5-7-0,0,12
28,3784,10.00,140.00,247.00,130.00,482.00,5-7-0,0,12
29,5259,10.00,130.00,291.00,110.00,340.00,5-7-0,0,12
30,3961,10.00,120.00,222.00,50.00,255.00,5-6-0,1,12
31,3179,10.00,90.00,191.00,80.00,246.00,5-7-0,0,12
32,3227,10.00,40.00,167.00,90.00,269.00,5-6-0,1,12
33,3991,8.00,200.00,241.00,90.00,241.00,4-8-0,0,12
34,3350,8.00,110.00,227.00,130.00,365.00,4-8-0,0,12
35,5195,8.00,70.00,267.00,160.00,537.00,4-8-0,0,12
36,5006,6.00,160.00,249.00,80.00,563.00,3-9-0,0,12
37,4090,6.00,70.00,216.00,80.00,354.00,3-9-0,0,12
38,1209,4.00,80.00,280.00,130.00,229.00,2-10-0,0,12
39,2359,2.00,100.00,332.00,80.00,155.00,1-11-0,0,12
