Rank,Team,RP,ParkClimb,Auto,Ownership,Vault,WinLossTie,DQ,Played
1,3309,3.3,790,350,2488,240,9-1-0,0,10
2,5012,2.9,710,378,2191,255,8-2-0,0,10
3,2122,2.8,630,407,2587,275,8-2-0,0,10
4,330,2.3,565,407,2247,200,7-3-0,0,10
5,597,2.3,565,366,2016,385,5-5-0,0,10
6,687,2.3,500,383,2194,250,6-4-0,0,10
7,1836,2.3,480,398,2128,300,6-4-0,0,10
8,5199,2.2,580,394,2227,240,6-4-0,0,10
9,399,2.2,560,364,2322,260,7-3-0,0,10
10,5124,2.2,545,301,2088,255,7-3-0,0,10
11,6220,2.1,590,324,2098,235,6-4-0,0,10
12,5810,2.1,525,380,2081,235,5-5-0,0,10
13,3473,2.1,455,297,2032,215,7-3-0,0,10
14,3476,2,550,380,2200,190,6-4-0,0,10
15,4322,2,515,338,2032,195,6-4-0,0,10
16,696,2,460,372,1982,255,5-5-0,0,10
17,2659,1.9,595,352,2007,235,5-5-0,0,10
18,1197,1.8,510,381,2182,275,5-5-0,0,10
19,6072,1.8,500,319,2086,225,5-5-0,0,10
20,968,1.8,445,353,1695,180,4-6-0,0,10
21,4079,1.7,475,323,1712,285,5-5-0,0,10
22,6535,1.7,455,269,1638,200,5-5-0,0,10
23,7230,1.7,440,322,1692,230,4-6-0,0,10
24,294,1.6,500,353,1624,235,3-7-0,0,10
25,2493,1.6,465,316,1639,220,4-6-0,0,10
26,599,1.5,575,274,1611,235,5-5-0,0,10
27,4999,1.5,395,296,1820,250,4-6-0,0,10
28,4201,1.4,535,320,1509,240,3-7-0,0,10
29,4619,1.4,425,312,1499,255,3-7-0,0,10
30,7157,1.3,410,288,2005,235,4-6-0,0,10
31,7025,1.3,245,268,1803,150,4-6-0,0,10
32,5966,1.2,470,296,1845,185,4-6-0,0,10
33,4276,1.2,405,335,1447,205,2-8-0,0,10
34,4,1.1,420,251,1679,265,4-6-0,0,10
35,1160,0.9,385,243,1118,205,2-8-0,0,10
36,5857,0.5,285,254,1485,180,1-9-0,0,10
