2017wiwi_23,Excellence in Design,frc155,
2017wiwi_3,Bill Reis Award (Woodie Flowers),frc3146,Scott Boynton
2017wiwi_30,Team Spirit Award,frc230,
2017wiwi_5,You're Super Cool (Volunteer of the Year),,Chris Deslandes
2017wiwi_64,Programming Award,frc2064,
2017wiwi_70,We Got Lost,frc173,
