Rank,Team,Ranking Score,Match Points,Auto,Rotor,Takeoff,kPa,Record (W-L-T),DQ,Played
1,195,2.1400000000000001,1813,408,700,650,348,5-2-0,0,7
2,3461,1.8500000000000001,1622,323,780,550,57,6-1-0,0,7
3,58,1.8500000000000001,1526,361,800,550,56,6-1-0,0,7
4,178,1.5700000000000001,1486,316,780,500,76,5-2-0,0,7
5,3654,1.5700000000000001,1397,247,640,550,62,5-2-0,0,7
6,181,1.4199999999999999,1738,348,800,750,3,5-2-0,0,7
7,230,1.28,1520,286,820,450,55,4-3-0,0,7
8,2067,1.28,1273,179,580,450,63,4-3-0,0,7
9,228,1.1399999999999999,1554,323,760,600,9,4-3-0,0,7
10,3146,1.1399999999999999,1376,330,760,500,1,4-3-0,0,7
11,4055,1.1399999999999999,1335,260,700,500,0,4-3-0,0,7
12,4557,1.1399999999999999,1316,261,660,450,1,4-3-0,0,7
13,155,1,1385,255,680,450,75,3-4-0,0,7
14,2064,1,1305,366,720,400,65,3-4-0,0,7
15,716,0.84999999999999998,1541,290,700,650,16,3-4-0,0,7
16,558,0.84999999999999998,1427,451,800,500,42,3-4-0,0,7
17,173,0.84999999999999998,1331,285,740,450,41,3-4-0,0,7
18,1124,0.84999999999999998,1319,118,660,550,4,3-4-0,0,7
19,1099,0.70999999999999996,1351,293,620,500,71,2-5-0,0,7
20,3525,0.70999999999999996,1169,171,660,350,54,2-5-0,0,7
21,1071,0.56999999999999995,1276,157,700,350,36,2-5-0,0,7
22,237,0.56999999999999995,1143,223,640,400,3,2-5-0,0,7
23,666,0.28000000000000003,1235,135,700,400,10,1-6-0,0,7
24,5421,0.28000000000000003,1159,220,640,350,34,1-6-0,0,7
