Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),DQ,Played
1,118,30,284,155,441,490,9-0-0,0,9
2,148,30,232,145,466,460,9-0-0,0,9
3,4587,27,252,130,436,475,7-2-0,0,9
4,1296,25,258,120,415,445,6-2-1,0,9
5,624,25,210,105,432,445,8-1-0,0,9
6,2468,24,242,150,378,455,7-2-0,0,9
7,2881,23,234,120,322,460,5-4-0,0,9
8,3310,23,232,115,372,455,6-3-0,0,9
9,4063,23,208,120,268,470,6-3-0,0,9
10,1477,23,202,115,305,435,6-3-0,0,9
11,3999,22,234,150,267,485,5-3-1,0,9
12,3481,22,156,155,290,420,6-3-0,0,9
13,2158,21,228,135,304,475,4-4-1,0,9
14,2848,21,200,95,329,410,6-1-1,1,9
15,5417,20,192,105,190,460,5-3-1,0,9
16,3005,19,238,125,268,465,4-4-1,0,9
17,3847,18,248,120,256,455,4-4-1,0,9
18,6133,18,242,95,215,475,5-4-0,0,9
19,3743,17,212,115,130,495,4-4-1,0,9
20,3366,17,212,85,223,430,5-4-0,0,9
21,5414,16,242,115,193,450,3-4-2,0,9
22,457,16,222,115,245,435,4-5-0,0,9
23,5775,16,184,120,176,420,5-4-0,0,9
24,418,15,192,115,223,440,3-5-1,0,9
25,3735,15,174,130,142,425,4-5-0,0,9
26,5242,14,210,190,160,470,3-6-0,0,9
27,6171,14,210,100,249,440,3-6-0,0,9
28,5829,14,186,100,123,455,2-5-2,0,9
29,5572,14,174,155,218,395,3-5-1,0,9
30,5431,13,218,105,226,430,2-6-1,0,9
31,4364,13,216,115,193,435,3-5-1,0,9
32,4639,13,198,90,262,460,3-6-0,0,9
33,2587,12,196,105,175,450,2-7-0,0,9
34,4192,12,184,90,185,440,2-6-1,0,9
35,4610,11,194,105,123,455,2-7-0,0,9
36,2583,10,208,75,194,430,2-7-0,0,9
37,5052,10,198,120,126,365,3-5-0,1,9
38,3679,10,188,100,131,435,1-7-1,0,9
39,3355,10,150,85,79,385,2-6-0,1,9
40,5726,8,244,95,191,435,2-7-0,0,9
41,5057,7,212,85,84,405,2-7-0,0,9
