Rank,Team,Ranking Score,Match Points,Auto,Rotor,Takeoff,kPa,Record (W-L-T),DQ,Played
1,5567,1.75,1978,424,940,850,23,7-1-0,0,8
2,1918,1.5,2162,356,1000,1000,17,6-2-0,0,8
3,5167,1.5,1957,420,980,850,22,6-2-0,0,8
4,2832,1.5,1940,493,1000,800,20,6-2-0,0,8
5,4855,1.5,1735,155,820,800,15,6-2-0,0,8
6,5980,1.25,1845,410,900,800,0,5-3-0,0,8
7,3357,1.25,1818,432,800,800,88,5-3-0,0,8
8,4003,1.25,1723,405,900,700,3,5-3-0,0,8
9,858,1,1883,535,1060,700,13,4-4-0,0,8
10,2771,1,1780,417,860,750,5,4-4-0,0,8
11,904,1,1753,473,880,750,3,4-4-0,0,8
12,2405,1,1634,309,820,650,29,4-4-0,0,8
13,5256,1,1624,253,800,650,24,4-4-0,0,8
14,3539,0.75,1965,502,1000,800,35,3-5-0,0,8
15,3620,0.75,1758,422,1020,600,28,3-5-0,0,8
16,6627,0.75,1698,356,920,650,18,3-5-0,0,8
17,4409,0.75,1670,220,840,700,20,3-5-0,0,8
18,5155,0.5,1813,423,980,700,13,2-6-0,0,8
19,2054,0.5,1689,337,880,700,9,2-6-0,0,8
20,3875,0.25,1599,484,960,500,14,1-7-0,0,8
21,6094,0.25,1575,295,900,550,0,1-7-0,0,8
