Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,1023,11,1,0,12,22.00,28.50
2,2137,10,2,0,12,20.00,30.58
3,1528,10,2,0,12,20.00,17.25
4,1250,10,2,0,12,20.00,16.75
5,3773,9,3,0,12,18.00,23.16
6,308,8,4,0,12,16.00,24.83
7,2611,8,3,0,11,16.00,19.75
8,313,8,4,0,12,16.00,17.58
9,326,8,4,0,12,16.00,16.41
10,3542,7,5,0,12,14.00,22.75
11,2676,7,4,0,11,14.00,17.16
12,2832,7,5,0,12,14.00,13.08
13,3401,7,5,0,12,14.00,12.66
14,123,7,5,0,12,14.00,12.16
15,3656,6,5,1,12,13.00,13.41
16,240,6,6,0,12,12.00,21.75
17,280,6,6,0,12,12.00,21.50
18,2612,6,6,0,12,12.00,18.08
19,3617,6,6,0,12,12.00,16.58
20,818,6,6,0,12,12.00,12.33
21,2620,5,7,0,12,10.00,23.91
22,3096,5,7,0,12,10.00,20.58
23,3641,5,7,0,12,10.00,19.50
24,3605,5,6,0,11,10.00,15.41
25,2224,5,7,0,12,10.00,15.00
26,3601,5,7,0,12,10.00,11.50
27,2673,5,6,0,11,10.00,9.41
28,3632,4,7,1,12,9.00,17.66
29,3602,4,7,1,12,9.00,13.91
30,1189,4,7,1,12,9.00,8.58
31,3414,4,8,0,12,8.00,15.75
32,515,4,8,0,12,8.00,14.08
33,1941,4,7,0,11,8.00,10.91
34,3604,4,8,0,12,8.00,10.33
35,3002,3,7,1,11,7.00,12.83
36,3768,3,8,0,11,6.00,11.25
37,3769,3,8,0,11,6.00,9.33
38,3655,2,8,1,11,5.00,6.41
39,3706,2,8,0,10,4.00,8.91
40,3668,2,9,0,11,4.00,4.91
