Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,1114,10,0,0,10,20.00,23.80
2,188,9,1,0,10,18.00,18.40
3,1503,9,1,0,10,18.00,18.30
4,1404,7,1,1,9,15.00,8.10
5,1815,7,1,0,8,14.00,20.90
6,3698,6,1,2,9,14.00,18.70
7,1241,7,2,0,9,14.00,15.33
8,3117,7,2,0,9,14.00,13.20
9,1075,6,3,0,9,12.00,27.33
10,2670,5,2,0,7,10.00,10.80
11,2609,4,4,2,10,10.00,7.20
12,919,4,2,1,7,9.00,13.80
13,3360,3,4,3,10,9.00,9.20
14,3530,4,4,1,9,9.00,5.30
15,1246,3,5,2,10,8.00,21.00
16,2200,4,6,0,10,8.00,15.80
17,907,4,3,0,7,8.00,15.50
18,2626,3,5,2,10,8.00,12.30
19,3386,4,6,0,10,8.00,12.10
20,3560,3,4,2,9,8.00,7.88
21,3379,3,4,2,9,8.00,5.00
22,1514,3,4,2,9,8.00,4.50
23,3544,3,4,1,8,7.00,20.44
24,3527,3,5,1,9,7.00,16.90
25,2625,3,3,1,7,7.00,13.20
26,3532,3,3,1,7,7.00,10.30
27,1482,3,4,1,8,7.00,8.70
28,296,3,4,1,8,7.00,5.20
29,886,3,2,1,6,7.00,2.11
30,2198,2,5,2,9,6.00,6.44
31,467,2,5,1,8,5.00,8.20
32,1009,1,6,3,10,5.00,7.70
33,1006,2,5,1,8,5.00,4.50
34,3040,2,3,1,6,5.00,2.40
35,3705,1,8,1,10,3.00,7.00
36,3563,1,8,0,9,2.00,1.20
