Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,103,10,1,0,11,20.00,48.73,122
2,341,10,1,0,11,20.00,47.27,76
3,1511,10,1,0,11,20.00,44.73,102
4,563,8,3,0,11,16.00,42.55,90
5,467,8,3,0,11,16.00,41.27,96
6,237,8,3,0,11,16.00,40.36,78
7,816,7,3,1,11,15.00,44.91,98
8,357,7,4,0,11,14.00,50.73,122
9,316,7,4,0,11,14.00,50.36,96
10,272,7,4,0,11,14.00,47.82,118
11,1712,7,4,0,11,14.00,38.55,82
12,539,7,4,0,11,14.00,33.45,78
13,834,6,4,1,11,13.00,39.64,78
14,365,6,5,0,11,12.00,48.55,118
15,381,6,5,0,11,12.00,47.45,98
16,284,6,5,0,11,12.00,42.36,88
17,486,6,5,0,11,12.00,40.73,122
18,1640,6,5,0,11,12.00,40.55,66
19,2539,6,5,0,11,12.00,38.91,102
20,2180,6,5,0,11,12.00,36.36,92
21,1647,6,5,0,11,12.00,35.64,78
22,304,6,5,0,11,12.00,30.73,84
23,2607,5,5,1,11,11.00,43.82,122
24,809,5,6,0,11,10.00,42.73,88
25,1495,5,6,0,11,10.00,42.55,70
26,709,5,6,0,11,10.00,41.27,122
27,1727,5,6,0,11,10.00,40.18,84
28,444,5,6,0,11,10.00,36.73,106
29,321,5,6,0,11,10.00,36.36,96
30,2559,5,6,0,11,10.00,34.18,82
31,484,4,6,1,11,9.00,35.27,88
32,84,4,7,0,11,8.00,42.73,120
33,2668,4,7,0,11,8.00,35.82,90
34,433,4,7,0,11,8.00,35.64,72
35,2558,4,7,0,11,8.00,34.36,78
36,1634,3,7,1,11,7.00,34.00,68
37,1370,3,8,0,11,6.00,37.82,64
38,1143,3,8,0,11,6.00,35.64,90
39,423,3,8,0,11,6.00,32.18,64
40,1601,3,8,0,11,6.00,27.27,72
41,708,2,8,1,11,5.00,37.09,92
42,1391,2,9,0,11,4.00,38.18,64
43,1885,2,9,0,11,4.00,34.55,62
44,2229,2,9,0,11,4.00,33.45,58
