Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,2056,10,0,0,10,20.00,15.20
2,217,9,1,0,10,18.00,18.60
3,1126,8,2,0,10,16.00,25.70
4,191,8,2,0,10,16.00,23.70
5,145,8,2,0,10,16.00,16.60
6,3799,7,3,0,10,14.00,16.20
7,716,7,3,0,10,14.00,15.30
8,2228,7,3,0,10,14.00,11.80
9,229,6,4,0,10,12.00,28.50
10,156,6,4,0,10,12.00,26.50
11,1511,6,4,0,10,12.00,23.10
12,340,6,3,0,9,12.00,21.10
13,1559,6,4,0,10,12.00,20.60
14,1153,6,4,0,10,12.00,15.80
15,1585,6,2,0,8,12.00,8.90
16,3015,5,4,0,9,10.00,18.50
17,1518,5,5,0,10,10.00,15.40
18,578,5,5,0,10,10.00,14.10
19,2994,5,5,0,10,10.00,12.60
20,1528,5,5,0,10,10.00,12.00
21,3173,5,5,0,10,10.00,11.40
22,639,5,4,0,9,10.00,11.30
23,1075,5,5,0,10,10.00,10.70
24,1640,4,6,0,10,8.00,22.20
25,1551,4,6,0,10,8.00,18.80
26,250,4,6,0,10,8.00,18.30
27,174,4,6,0,10,8.00,17.60
28,1405,4,6,0,10,8.00,15.50
29,843,4,6,0,10,8.00,15.00
30,3613,4,6,0,10,8.00,14.00
31,2340,4,6,0,10,8.00,12.80
32,2852,4,6,0,10,8.00,9.40
33,1765,4,5,0,9,8.00,8.80
34,3157,3,7,0,10,6.00,19.50
35,1450,3,7,0,10,6.00,19.30
36,3003,3,6,0,9,6.00,18.00
37,2053,3,6,0,9,6.00,16.20
38,3838,3,6,0,9,6.00,12.00
39,3181,3,6,0,9,6.00,10.90
40,211,3,6,0,9,6.00,9.60
41,1591,3,7,0,10,6.00,8.90
42,188,2,8,0,10,4.00,19.50
43,3842,2,6,0,8,4.00,5.30
44,73,1,9,0,10,2.00,10.90
