Rank,Team,Qual Avg,Coopertition,Auto,Container,Tote,Litter,DQ,Played
1,234,118,0,80,176,116,100,0,4
2,1126,113,0,20,204,172,57,0,4
3,5413,99,0,0,224,128,45,0,4
4,4145,93,40,0,164,114,56,0,4
5,4269,91,40,0,164,124,38,0,4
6,5667,91,0,20,188,106,50,0,4
7,4085,89,80,0,140,100,39,0,4
8,3324B,89,0,20,160,112,64,0,4
9,4269B,88,40,0,172,102,45,0,4
10,3138B,86,0,0,180,122,43,0,4
11,677,84,40,20,112,120,46,0,4
12,2614,84,0,0,184,120,38,0,4
13,3591,81,0,20,152,88,66,0,4
14,3266,79,40,20,124,82,50,0,4
15,3138,79,40,20,96,122,38,0,4
16,1038,72,40,0,104,128,19,0,4
17,1720,71,0,0,144,102,40,0,4
18,4146,69,40,0,112,84,42,0,4
19,1014,67,40,0,120,84,24,0,4
20,291,61,0,20,92,104,30,0,4
21,4780,61,40,0,80,100,24,0,4
22,1317,55,0,0,92,106,22,0,4
23,3324,54,0,0,104,90,31,0,4
24,447,52,0,0,80,106,25,0,4
25,2614B,51,0,0,100,82,24,0,4
26,461,47,0,0,72,104,12,0,4
27,3201,40,0,0,72,72,19,0,4
28,1317B,34,0,0,56,64,18,0,4
29,4611,22,0,0,36,32,20,2,4
30,1038B,2,0,0,0,8,0,3,4
