Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,3316,18.00,180.00,315.00,110.00,245.00,9-1-0,0,10
2,3211,16.00,100.00,350.00,100.00,266.00,8-2-0,0,10
3,2231,14.00,80.00,217.00,70.00,190.00,7-3-0,0,10
4,2630,14.00,70.00,270.00,50.00,142.00,7-3-0,0,10
5,1937,14.00,70.00,255.00,70.00,221.00,7-3-0,0,10
6,2679,14.00,70.00,231.00,90.00,327.00,7-3-0,0,10
7,1946,14.00,50.00,236.00,80.00,290.00,7-3-0,0,10
8,4649,14.00,30.00,226.00,40.00,309.00,7-3-0,0,10
9,1577,12.00,100.00,351.00,140.00,208.00,6-4-0,0,10
10,4586,12.00,80.00,320.00,80.00,237.00,6-4-0,0,10
11,1836,12.00,80.00,245.00,70.00,212.00,6-4-0,0,10
12,4744,12.00,80.00,192.00,60.00,234.00,6-4-0,0,10
13,4724,12.00,70.00,195.00,50.00,92.00,6-4-0,0,10
14,4406,12.00,50.00,195.00,60.00,298.00,6-4-0,0,10
15,5135,12.00,50.00,185.00,70.00,169.00,6-4-0,0,10
16,4320,12.00,40.00,306.00,70.00,369.00,6-4-0,0,10
17,2212,12.00,30.00,230.00,60.00,202.00,6-4-0,0,10
18,3339,12.00,20.00,306.00,150.00,323.00,6-4-0,0,10
19,1952,12.00,0,212.00,20.00,318.00,6-4-0,0,10
20,5038,10.00,140.00,306.00,110.00,172.00,5-5-0,0,10
21,1954,10.00,90.00,145.00,70.00,185.00,5-5-0,0,10
22,5291,10.00,80.00,161.00,100.00,228.00,5-5-0,0,10
23,3388,10.00,50.00,230.00,100.00,213.00,5-5-0,0,10
24,3034,10.00,50.00,175.00,30.00,290.00,5-5-0,0,10
25,1574,10.00,40.00,245.00,130.00,363.00,5-5-0,0,10
26,4708,10.00,40.00,140.00,50.00,222.00,5-5-0,0,10
27,1573,10.00,30.00,220.00,60.00,256.00,5-5-0,0,10
28,3075,10.00,30.00,220.00,40.00,175.00,5-5-0,0,10
29,4661,10.00,30.00,151.00,60.00,193.00,5-5-0,0,10
30,1944,10.00,20.00,286.00,80.00,213.00,5-5-0,0,10
31,2230,10.00,20.00,226.00,30.00,262.00,5-5-0,0,10
32,2216,10.00,20.00,136.00,30.00,376.00,5-5-0,0,10
33,1942,10.00,10.00,336.00,40.00,98.00,5-5-0,0,10
34,4590,8.00,70.00,252.00,80.00,268.00,4-6-0,0,10
35,4338,8.00,60.00,190.00,60.00,69.00,4-5-0,1,10
36,3835,8.00,40.00,276.00,70.00,152.00,4-6-0,0,10
37,4757,8.00,40.00,240.00,50.00,290.00,4-6-0,0,10
38,1657,8.00,40.00,231.00,50.00,251.00,4-6-0,0,10
39,3083,8.00,40.00,200.00,30.00,264.00,4-5-0,1,10
40,1690,8.00,30.00,256.00,100.00,271.00,4-6-0,0,10
41,5273,8.00,30.00,225.00,90.00,209.00,4-6-0,0,10
42,4416,8.00,20.00,205.00,40.00,179.00,4-6-0,0,10
43,1576,8.00,10.00,235.00,50.00,358.00,4-6-0,0,10
44,4794,8.00,10.00,210.00,50.00,221.00,4-6-0,0,10
45,2213,8.00,0,210.00,50.00,278.00,4-6-0,0,10
46,3065,6.00,20.00,255.00,40.00,267.00,3-7-0,0,10
47,3063,6.00,20.00,176.00,60.00,130.00,3-7-0,0,10
48,5174,6.00,0,185.00,20.00,232.00,3-7-0,0,10
49,4784,4.00,30.00,263.00,70.00,206.00,2-8-0,0,10
50,1943,4.00,20.00,150.00,20.00,324.00,2-8-0,0,10
51,4319,4.00,10.00,186.00,10.00,79.00,2-8-0,0,10
52,1580,4.00,10.00,135.00,10.00,183.00,2-8-0,0,10
53,3087,4.00,10.00,85.00,20.00,110.00,2-4-0,4,10
