Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,3692,16.00,270.00,90.00,218.00,8-2-0,0,10
2,1732,16.00,268.00,130.00,390.00,8-2-0,0,10
3,876,16.00,264.00,330.00,250.00,8-2-0,0,10
4,2826,16.00,262.00,140.00,460.00,8-2-0,0,10
5,4143,16.00,184.00,330.00,341.00,8-2-0,0,10
6,1259,16.00,162.00,330.00,194.00,8-2-0,0,10
7,2077,16.00,152.00,260.00,277.00,8-2-0,0,10
8,111,14.00,318.00,210.00,298.00,7-3-0,0,10
9,2481,14.00,298.00,260.00,321.00,7-3-0,0,10
10,2062,14.00,290.00,100.00,238.00,7-3-0,0,10
11,706,14.00,258.00,190.00,338.00,7-3-0,0,10
12,537,14.00,224.00,120.00,329.00,7-3-0,0,10
13,135,14.00,222.00,220.00,408.00,7-3-0,0,10
14,1781,14.00,194.00,130.00,292.00,7-3-0,0,10
15,2202,12.00,262.00,150.00,331.00,6-4-0,0,10
16,930,12.00,230.00,150.00,351.00,6-4-0,0,10
17,3734,12.00,218.00,180.00,263.00,6-4-0,0,10
18,2194,12.00,208.00,130.00,290.00,6-4-0,0,10
19,2574,12.00,200.00,190.00,312.00,6-4-0,0,10
20,71,12.00,184.00,220.00,248.00,6-4-0,0,10
21,1714,12.00,168.00,330.00,211.00,6-4-0,0,10
22,2338,12.00,168.00,120.00,236.00,6-4-0,0,10
23,1716,12.00,146.00,170.00,184.00,6-4-0,0,10
24,16,12.00,142.00,180.00,252.00,6-4-0,0,10
25,167,10.00,270.00,140.00,257.00,5-5-0,0,10
26,4212,10.00,238.00,110.00,474.00,5-5-0,0,10
27,3596,10.00,208.00,190.00,191.00,5-5-0,0,10
28,2022,10.00,164.00,90.00,249.00,5-5-0,0,10
29,93,10.00,162.00,110.00,218.00,5-5-0,0,10
30,1306,10.00,144.00,210.00,180.00,5-5-0,0,10
31,3963,10.00,130.00,120.00,184.00,5-5-0,0,10
32,4531,10.00,124.00,190.00,181.00,5-5-0,0,10
33,3381,8.00,216.00,170.00,290.00,4-6-0,0,10
34,3067,8.00,190.00,230.00,259.00,4-6-0,0,10
35,1675,8.00,164.00,190.00,133.00,4-6-0,0,10
36,4095,8.00,164.00,180.00,265.00,4-6-0,0,10
37,1739,8.00,156.00,120.00,211.00,4-6-0,0,10
38,171,8.00,146.00,180.00,192.00,4-6-0,0,10
39,1091,8.00,124.00,150.00,256.00,4-6-0,0,10
40,4081,8.00,124.00,150.00,164.00,4-6-0,0,10
41,4247,8.00,112.00,280.00,202.00,4-6-0,0,10
42,4021,6.00,266.00,170.00,238.00,3-7-0,0,10
43,4655,6.00,216.00,210.00,264.00,3-7-0,0,10
44,3418,6.00,200.00,120.00,239.00,3-7-0,0,10
45,4296,6.00,194.00,110.00,200.00,3-7-0,0,10
46,269,6.00,190.00,150.00,309.00,3-7-0,0,10
47,4804,6.00,168.00,150.00,186.00,3-7-0,0,10
48,3197,6.00,160.00,100.00,152.00,3-7-0,0,10
49,81,6.00,158.00,100.00,154.00,3-7-0,0,10
50,2830,6.00,140.00,100.00,189.00,3-7-0,0,10
51,2358,6.00,124.00,230.00,108.00,3-7-0,0,10
52,2039,6.00,108.00,190.00,101.00,3-7-0,0,10
53,2530,6.00,102.00,130.00,256.00,3-7-0,0,10
54,3936,4.00,152.00,120.00,248.00,2-8-0,0,10
55,2506,4.00,146.00,150.00,176.00,2-8-0,0,10
56,4786,4.00,126.00,110.00,188.00,2-8-0,0,10
57,3940,4.00,48.00,200.00,94.00,2-8-0,0,10
