Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,2539,2.6000000000000001,255,203,1364,160,4-1-0,0,5
2,225,2.3999999999999999,325,184,1280,195,4-1-0,0,5
3,316,2.3999999999999999,185,194,1257,150,4-1-0,0,5
4,219,2.2000000000000002,215,163,1304,155,4-1-0,0,5
5,708,2.2000000000000002,185,140,1174,125,4-1-0,0,5
6,6590,2,240,206,1240,145,3-2-0,0,5
7,2016,2,240,172,1191,185,3-2-0,0,5
8,193,2,235,146,993,150,3-2-0,0,5
9,6897,2,235,134,881,125,3-2-0,0,5
10,321,2,230,171,1040,145,3-2-0,0,5
11,1923,2,215,165,1065,150,3-2-0,0,5
12,102,2,190,154,1175,120,4-1-0,0,5
13,484,2,140,128,1188,110,4-1-0,0,5
14,4653,1.8,145,161,953,185,2-3-0,0,5
15,369,1.6000000000000001,225,136,1019,125,2-3-0,0,5
16,75,1.6000000000000001,180,114,1011,105,3-2-0,0,5
17,1257,1.6000000000000001,130,127,1021,100,3-2-0,0,5
18,2607,1.3999999999999999,185,165,1026,125,2-3-0,0,5
19,1676,1.3999999999999999,175,121,845,80,2-3-0,0,5
20,533,1.3999999999999999,170,126,879,105,2-3-0,0,5
21,806,1.3999999999999999,145,138,794,125,2-3-0,0,5
22,1218,1.2,215,122,1012,135,2-3-0,0,5
23,5420,1.2,215,110,965,110,3-2-0,0,5
24,11,1.2,155,115,916,120,2-3-0,0,5
25,224,1.2,100,132,1049,90,2-3-0,0,5
26,3340,1,240,74,679,140,2-3-0,0,5
27,2590,1,200,144,912,105,1-4-0,0,5
28,5123,1,120,133,637,90,1-4-0,0,5
29,4652,0.80000000000000004,125,115,703,65,1-4-0,0,5
30,3142,0.59999999999999998,90,124,737,105,0-5-0,0,5
31,4454,0.40000000000000002,125,111,587,70,0-5-0,0,5
