Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,33,11,1,0,12,22,17
2,2137,9,3,0,12,18,16.58
3,3536,8,2,2,12,18,7.66
4,302,8,2,1,11,17,13.58
5,894,8,3,1,12,17,9.58
6,70,8,4,0,12,16,16
7,1504,7,3,2,12,16,5.83
8,2604,7,4,1,12,15,10.33
9,51,7,4,0,11,14,17
10,3568,7,4,0,11,14,8.33
11,2337,7,5,0,12,14,7.91
12,27,6,5,1,12,13,11.25
13,494,6,4,1,11,13,10.66
14,1243,6,5,1,12,13,10.66
15,3322,6,5,1,12,13,8
16,326,6,5,0,11,12,14.41
17,2834,6,5,0,11,12,12.58
18,1188,6,5,0,11,12,12.41
19,470,6,4,0,10,12,9.66
20,3534,5,5,2,12,12,8.25
21,1322,6,6,0,12,12,8
22,1684,6,6,0,12,12,6.25
23,3535,6,6,0,12,12,4.66
24,1701,4,5,3,12,11,12.08
25,67,5,5,1,11,11,10.08
26,1506,5,7,0,12,10,6.08
27,3421,4,7,1,12,9,9.41
28,314,4,7,1,12,9,6.5
29,3398,4,8,0,12,8,7
30,322,4,7,0,11,8,6.33
31,3601,3,7,1,11,7,9.83
32,3450,3,7,1,11,7,7.58
33,3770,3,8,1,12,7,4.5
34,468,3,9,0,12,6,8.25
35,703,3,9,0,12,6,7.83
36,3415,3,8,0,11,6,6.16
37,1,1,9,2,12,4,11.91
38,3667,2,9,0,11,4,5
