Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,3322,40.00,166.00,100.00,243.00,20,10-2-0,0,12
2,2673,40.00,107.00,110.00,106.00,22,9-3-0,0,12
3,1023,36.00,152.00,110.00,243.00,16,10-2-0,0,12
4,27,36.00,134.00,150.00,196.00,18,9-3-0,0,12
5,2591,36.00,131.00,50.00,175.00,18,9-3-0,0,12
6,3641,34.00,153.00,120.00,207.00,18,8-4-0,0,12
7,4390,34.00,102.00,80.00,134.00,22,6-6-0,0,12
8,3534,34.00,94.00,140.00,99.00,18,8-4-0,0,12
9,2137,33.00,142.00,70.00,171.00,20,6-5-1,0,12
10,240,32.00,209.00,90.00,115.00,12,10-2-0,0,12
11,1025,32.00,93.00,110.00,115.00,18,7-5-0,0,12
12,2619,32.00,83.00,100.00,74.00,20,6-6-0,0,12
13,3421,32.00,79.00,70.00,115.00,22,5-7-0,0,12
14,123,30.00,125.00,80.00,195.00,14,8-4-0,0,12
15,3096,30.00,109.00,90.00,188.00,16,7-5-0,0,12
16,280,30.00,106.00,50.00,126.00,20,5-7-0,0,12
17,862,29.00,142.00,120.00,143.00,16,6-5-1,0,12
18,3542,29.00,113.00,120.00,113.00,14,7-4-1,0,12
19,1701,29.00,52.00,160.00,149.00,16,6-5-1,0,12
20,247,28.00,124.00,120.00,174.00,10,9-3-0,0,12
21,815,28.00,105.00,90.00,135.00,18,5-7-0,0,12
22,3707,28.00,63.00,40.00,137.00,14,7-5-0,0,12
23,3414,26.00,177.00,60.00,93.00,10,8-4-0,0,12
24,2620,26.00,98.00,70.00,112.00,18,4-8-0,0,12
25,2832,25.00,97.00,140.00,65.00,16,4-7-1,0,12
26,3604,24.00,110.00,20.00,89.00,14,5-7-0,0,12
27,3773,24.00,83.00,70.00,72.00,18,3-9-0,0,12
28,2224,22.00,93.00,110.00,66.00,12,5-7-0,0,12
29,3605,22.00,63.00,70.00,133.00,12,5-7-0,0,12
30,1506,21.00,76.00,100.00,92.00,14,3-8-1,0,12
31,818,20.00,111.00,80.00,91.00,12,4-8-0,0,12
32,3655,20.00,109.00,20.00,129.00,10,5-7-0,0,12
33,1998,20.00,92.00,50.00,90.00,12,4-8-0,0,12
34,3706,20.00,83.00,70.00,104.00,12,4-8-0,0,12
35,2676,20.00,70.00,80.00,126.00,10,5-7-0,0,12
36,313,20.00,61.00,40.00,87.00,14,3-9-0,0,12
37,3632,20.00,56.00,50.00,44.00,14,3-9-0,0,12
38,3668,18.00,83.00,100.00,101.00,10,4-8-0,0,12
39,3115,16.00,93.00,90.00,70.00,10,3-8-0,1,12
40,3768,14.00,73.00,30.00,84.00,10,2-10-0,0,12
